Setpoint, C:;600

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;488.3;124.9;0;0
2;488.2;124.9;0;0
3;488.1;124.9;0;0
4;488;124.9;0;0
5;487.9;124.9;0;0
6;487.7;124.9;0;0
7;487.8;124.9;0;0
8;487.6;124.9;0;0
9;487.6;124.9;1;1
10;487.5;124.9;1;1
11;487.5;124.9;1;1
12;487.5;124.9;1;1
13;487.4;124.9;1;1
14;487.4;124.9;1;1
15;487.2;124.9;1;1
16;487.2;124.9;1;1
17;487.3;124.9;1;1
18;487.4;124.9;1;1
19;487.5;124.9;1;1
20;487.5;124.9;1;1
21;487.6;124.9;1;1
22;487.7;124.9;1;1
23;488;124.9;1;1
24;488.2;124.9;1;1
25;488.3;124.9;1;1
26;488.6;124.9;1;1
27;488.8;124.9;1;1
28;489;124.9;1;1
29;489.2;124.9;1;1
30;489.4;124.9;1;1
31;489.7;124.9;1;1
32;489.9;124.9;1;1
33;490.3;124.9;1;1
34;490.4;124.9;1;1
35;490.8;124.9;1;1
36;491;124.9;1;1
37;491.4;124.9;1;1
38;491.6;124.9;1;1
39;491.9;124.9;1;1
40;492.3;124.9;1;1
41;492.5;124.9;1;1
42;492.8;124.9;1;1
43;493.3;124.9;1;1
44;493.5;124.9;1;1
45;493.9;124.9;1;1
46;494.2;124.9;1;1
47;494.5;124.9;1;1
48;494.9;124.9;1;1
49;495.2;124.9;1;1
50;495.5;124.9;1;1
51;495.9;124.9;1;1
52;496.2;124.9;1;1
53;496.6;124.9;1;1
54;496.9;124.9;1;1
55;497.3;124.9;1;1
56;497.7;124.9;1;1
57;498.1;124.9;1;1
58;498.4;124.9;1;1
59;498.8;124.9;1;1
60;499.2;124.9;1;1
61;499.5;124.9;1;1
62;499.9;124.9;1;1
63;500.4;124.9;1;1
64;500.6;124.9;1;1
65;501;124.9;1;1
66;501.4;124.9;1;1
67;501.8;124.9;1;1
68;502.2;124.9;1;1
69;502.6;124.9;1;1
70;503;124.9;1;1
71;503.4;124.9;1;1
72;503.8;124.9;1;1
73;504.2;124.9;1;1
74;504.7;124.9;1;1
75;505.1;124.9;1;1
76;505.4;124.9;1;1
77;505.8;124.9;1;1
78;506.2;124.9;1;1
79;506.7;124.9;1;1
80;507.2;124.9;1;1
81;507.5;124.9;1;1
82;508;124.9;1;1
83;508.4;124.9;1;1
84;508.8;124.9;1;1
85;509.2;124.9;1;1
86;509.6;124.9;1;1
87;510.1;124.9;1;1
88;510.5;124.9;1;1
89;510.9;124.9;1;1
90;511.4;124.9;1;1
91;511.7;124.9;1;1
92;512.2;124.9;1;1
93;512.6;124.9;1;1
94;513;124.9;1;1
95;513.5;124.9;1;1
96;513.9;124.9;1;1
97;514.4;124.9;1;1
98;514.8;124.9;1;1
99;515.3;124.9;1;1
100;515.8;124.9;1;1
101;516.1;124.9;1;1
102;516.6;124.9;1;1
103;517.1;124.9;1;1
104;517.5;124.9;1;1
105;518;124.9;1;1
106;518.5;124.9;1;1
107;518.9;124.9;1;1
108;519.3;124.9;1;1
109;519.8;124.9;1;1
110;520.2;124.9;1;1
111;520.7;124.9;1;1
112;521.1;124.9;1;1
113;521.6;124.9;1;1
