Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;88.9;124.9;100;0;0
1;88.9;124.9;100;1;0
2;88.8;124.9;100;0;1
3;88.9;124.9;100;0;0
4;88.9;124.9;100;0;0
5;88.8;124.9;100;0;0
6;88.9;124.9;100;0;0
7;88.8;124.9;100;0;0
8;88.9;124.9;100;0;0
9;89;124.9;100;1;0
10;88.9;124.9;100;0;1
11;88.9;124.9;100;0;0
12;89;124.9;100;0;0
13;88.9;124.9;100;0;0
14;88.9;124.9;100;0;0
15;89.1;124.9;100;0;0
16;89;124.9;100;0;0
17;89;124.9;100;0;0
18;89;124.9;100;1;0
19;89;124.9;100;0;1
20;89;124.9;100;0;0
21;89;124.9;100;0;0
22;89.1;124.9;100;0;0
23;89.1;124.9;100;0;0
24;89.1;124.9;100;0;0
25;89.1;124.9;100;0;0
26;89.2;124.9;100;1;0
27;89.2;124.9;100;0;1
28;89.2;124.9;100;0;0
29;89.2;124.9;100;0;0
30;89.3;124.9;100;0;0
31;89.2;124.9;100;0;0
32;89.3;124.9;100;0;0
33;89.4;124.9;100;0;0
34;89.4;124.9;100;1;0
35;89.4;124.9;100;0;1
36;89.4;124.9;100;0;0
37;89.4;124.9;100;0;0
38;89.5;124.9;100;0;0
39;89.5;124.9;100;0;0
40;89.5;124.9;100;0;0
41;89.5;124.9;100;0;0
42;89.5;124.9;100;0;0
43;89.5;124.9;100;1;0
44;89.7;124.9;100;0;1
45;89.6;124.9;100;0;0
46;89.6;124.9;100;0;0
47;89.7;124.9;100;0;0
48;89.8;124.9;100;0;0
49;89.7;124.9;100;0;0
50;89.8;124.9;100;0;0
51;89.8;124.9;100;1;0
52;89.8;124.9;100;0;1
53;89.9;124.9;100;0;0
54;89.9;124.9;100;0;0
55;89.9;124.9;100;0;0
56;89.9;124.9;100;0;0
57;90;124.9;100;0;0
58;90;124.9;100;0;0
59;90;124.9;100;0;0
60;90;124.9;100;1;0
61;90.1;124.9;100;0;1
62;90.1;124.9;100;0;0
63;90.2;124.9;100;0;0
64;90.2;124.9;100;0;0
65;90.2;124.9;100;0;0
66;90.2;124.9;100;0;0
67;90.3;124.9;100;0;0
68;90.3;124.9;100;0;0
69;90.3;124.9;100;0;0
70;90.4;124.9;100;0;0
71;90.4;124.9;100;0;0
72;90.4;124.9;100;0;0
73;90.4;124.9;100;0;0
74;90.4;124.9;100;0;0
75;90.5;124.9;100;0;0
76;90.4;124.9;100;0;0
77;90.5;124.9;100;1;0
78;90.5;124.9;100;0;1
79;90.6;124.9;100;0;0
80;90.6;124.9;100;0;0
81;90.6;124.9;100;0;0
82;90.6;124.9;100;0;0
83;90.6;124.9;100;0;0
84;90.7;124.9;100;0;0
85;90.7;124.9;100;0;0
86;90.7;124.9;100;1;0
87;90.8;124.9;100;0;1
88;90.7;124.9;100;0;0
89;90.8;124.9;100;0;0
90;90.8;124.9;100;0;0
91;90.8;124.9;100;0;0
92;90.8;124.9;100;0;0
93;90.9;124.9;100;0;0
94;90.9;124.9;100;0;0
95;90.9;124.9;100;0;0
96;91;124.9;100;0;0
97;91;124.9;100;0;0
98;91.1;124.9;100;0;0
99;91.1;124.9;100;0;0
100;91.1;124.9;100;0;0
101;91.1;124.9;100;0;0
102;91;124.9;100;0;0
103;91.1;124.9;100;1;0
104;91.1;124.9;100;0;1
105;91.1;124.9;100;0;0
106;91.1;124.9;100;0;0
107;91.1;124.9;100;0;0
108;91.3;124.9;100;0;0
109;91.3;124.9;100;0;0
110;91.3;124.9;100;0;0
111;91.2;124.9;100;0;0
112;91.3;124.9;100;1;0
113;91.3;124.9;100;0;1
114;91.3;124.9;100;0;0
115;91.4;124.9;100;0;0
116;91.4;124.9;100;0;0
117;91.5;124.9;100;0;0
118;91.5;124.9;100;0;0
119;91.5;124.9;100;0;0
120;91.5;124.9;100;0;0
121;91.5;124.9;100;1;0
122;91.6;124.9;100;0;1
123;91.6;124.9;100;0;0
124;91.6;124.9;100;0;0
125;91.6;124.9;100;0;0
126;91.7;124.9;100;0;0
127;91.8;124.9;100;0;0
128;91.8;124.9;100;0;0
129;91.8;124.9;100;1;0
130;91.9;124.9;100;0;0
131;91.8;124.9;100;0;0
132;91.9;124.9;100;0;0
133;91.9;124.9;100;0;0
134;91.9;124.9;100;0;0
135;92;124.9;100;0;0
136;92.1;124.9;100;0;0
137;92.1;124.9;100;0;0
138;92.1;124.9;100;1;0
139;92.1;124.9;100;0;1
140;92.2;124.9;100;0;0
141;92.2;124.9;100;0;0
142;92.3;124.9;100;0;0
143;92.3;124.9;100;0;0
144;92.3;124.9;100;0;0
145;92.4;124.9;100;0;0
146;92.3;124.9;100;0;0
147;92.3;124.9;100;0;0
148;92.5;124.9;100;0;0
149;92.6;124.9;100;0;0
150;92.5;124.9;100;0;0
151;92.6;124.9;100;0;0
152;92.6;124.9;100;0;0
153;92.6;124.9;100;0;0
154;92.7;124.9;100;0;0
155;92.6;124.9;100;1;0
156;92.7;124.9;100;0;1
157;92.7;124.9;100;0;1
158;92.7;124.9;100;0;0
159;92.7;124.9;100;0;0
160;92.8;124.9;100;0;0
161;92.8;124.9;100;0;0
162;92.8;124.9;100;0;0
163;92.9;124.9;100;1;0
164;92.9;124.9;100;0;0
165;92.9;124.9;100;0;1
166;93;124.9;100;0;0
167;93;124.9;100;0;0
168;93;124.9;100;0;0
169;93;124.9;100;0;0
170;93.1;124.9;100;0;0
171;93.1;124.9;100;0;0
172;93.1;124.9;100;1;0
173;93.2;124.9;100;0;0
174;93.2;124.9;100;0;1
175;93.3;124.9;100;0;0
176;93.3;124.9;100;0;0
177;93.3;124.9;100;0;0
178;93.4;124.9;100;0;0
179;93.4;124.9;100;0;0
180;93.4;124.9;100;1;0
181;93.5;124.9;100;0;0
182;93.5;124.9;100;0;1
183;93.5;124.9;100;0;0
184;93.6;124.9;100;0;0
185;93.6;124.9;100;0;0
186;93.7;124.9;100;0;0
187;93.7;124.9;100;0;0
188;93.8;124.9;100;0;0
189;93.8;124.9;100;1;0
190;93.8;124.9;100;0;0
191;93.9;124.9;100;0;1
192;93.9;124.9;100;0;0
193;94;124.9;100;0;0
194;94;124.9;100;0;0
195;94;124.9;100;0;0
196;94.1;124.9;100;0;0
197;94.1;124.9;100;1;0
198;94.1;124.9;100;0;0
199;94.2;124.9;100;0;1
200;94.2;124.9;100;0;0
201;94.2;124.9;100;0;0
202;94.3;124.9;100;0;0
203;94.3;124.9;100;0;0
204;94.4;124.9;100;0;0
205;94.4;124.9;100;0;0
206;94.4;124.9;100;1;0
207;94.5;124.9;100;0;0
208;94.6;124.9;100;0;1
209;94.6;124.9;100;0;0
210;94.6;124.9;100;0;0
211;94.7;124.9;100;0;0
212;94.7;124.9;100;0;0
213;94.7;124.9;100;0;0
214;94.8;124.9;100;0;0
215;94.8;124.9;100;1;0
216;94.8;124.9;100;0;0
217;94.9;124.9;100;0;1
218;95;124.9;100;0;0
219;95;124.9;100;0;0
220;95;124.9;100;0;0
221;95.1;124.9;100;0;0
222;95.1;124.9;100;0;0
223;95.1;124.9;100;0;0
224;95.2;124.9;100;1;0
225;95.2;124.9;100;0;0
226;95.2;124.9;100;0;1
227;95.3;124.9;100;0;0
228;95.3;124.9;100;0;0
229;95.4;124.9;100;0;0
230;95.5;124.9;100;0;0
231;95.5;124.9;100;0;0
232;95.5;124.9;100;1;0
233;95.5;124.9;100;0;0
234;95.6;124.9;100;0;1
235;95.6;124.9;100;0;0
236;95.6;124.9;100;0;0
237;95.7;124.9;100;0;0
238;95.8;124.9;100;0;0
239;95.9;124.9;100;0;0
240;95.8;124.9;100;0;0
241;95.9;124.9;100;1;0
242;95.9;124.9;100;0;1
243;95.9;124.9;100;0;0
244;96.1;124.9;100;0;0
245;96.1;124.9;100;0;0
246;96;124.9;100;0;0
247;96.1;124.9;100;0;0
248;96.2;124.9;100;0;0
249;96.2;124.9;100;0;0
250;96.3;124.9;100;0;0
251;96.3;124.9;100;0;0
252;96.3;124.9;100;0;0
253;96.4;124.9;100;0;0
254;96.4;124.9;100;0;0
255;96.4;124.9;100;0;0
256;96.4;124.9;100;0;0
257;96.6;124.9;100;1;0
258;96.5;124.9;100;0;1
259;96.6;124.9;100;0;0
260;96.6;124.9;100;0;0
261;96.6;124.9;100;0;0
262;96.7;124.9;100;0;0
263;96.7;124.9;100;0;0
264;96.8;124.9;100;0;0
265;96.8;124.9;100;0;0
266;96.8;124.9;100;1;0
267;96.8;124.9;100;0;1
268;96.9;124.9;100;0;0
269;96.9;124.9;100;0;0
270;96.9;124.9;100;0;0
271;97;124.9;100;0;0
272;97;124.9;100;0;0
273;97.1;124.9;100;0;0
274;97.1;124.9;100;0;0
275;97.2;124.9;100;1;0
276;97.1;124.9;100;0;1
277;97.2;124.9;100;0;0
278;97.3;124.9;100;0;0
279;97.3;124.9;100;0;0
280;97.3;124.9;100;0;0
281;97.3;124.9;100;0;0
282;97.4;124.9;100;0;0
283;97.5;124.9;100;1;0
284;97.5;124.9;100;0;1
285;97.5;124.9;100;0;0
286;97.6;124.9;100;0;0
287;97.7;124.9;100;0;0
288;97.7;124.9;100;0;0
289;97.7;124.9;100;0;0
290;97.8;124.9;100;0;0
291;97.8;124.9;100;0;0
292;97.9;124.9;100;1;0
293;97.9;124.9;100;0;1
294;98;124.9;100;0;0
295;98;124.9;100;0;0
296;98;124.9;100;0;0
297;98.1;124.9;100;0;0
