Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;87.3;124.9;100;0;0
1;87.3;124.9;100;0;0
2;87.3;124.9;100;0;0
3;87.3;124.9;100;0;0
4;87.3;124.9;100;0;0
5;87.3;124.9;100;0;0
6;87.2;124.9;100;0;0
7;87.2;124.9;100;1;0
8;87.3;124.9;100;0;1
9;87.2;124.9;100;0;0
10;87.2;124.9;100;0;0
11;87.2;124.9;100;0;0
12;87.2;124.9;100;0;0
13;87.3;124.9;100;1;0
14;87.2;124.9;100;0;1
15;87.2;124.9;100;0;0
16;87.2;124.9;100;0;0
17;87.2;124.9;100;0;0
18;87.2;124.9;100;0;0
19;87.2;124.9;100;1;0
20;87.3;124.9;100;0;1
21;87.3;124.9;100;0;0
22;87.3;124.9;100;0;0
23;87.3;124.9;100;0;0
24;87.4;124.9;100;0;0
25;87.4;124.9;100;0;0
26;87.3;124.9;100;0;0
27;87.4;124.9;100;0;0
28;87.4;124.9;100;0;0
29;87.5;124.9;100;0;0
30;87.5;124.9;100;0;0
31;87.5;124.9;100;0;0
32;87.5;124.9;100;1;0
33;87.6;124.9;100;0;1
34;87.5;124.9;100;0;0
35;87.6;124.9;100;0;0
36;87.6;124.9;100;0;0
37;87.6;124.9;100;0;0
38;87.5;124.9;100;1;0
39;87.6;124.9;100;0;1
40;87.6;124.9;100;0;0
41;87.6;124.9;100;0;0
42;87.6;124.9;100;0;0
43;87.6;124.9;100;0;0
44;87.8;124.9;100;1;0
45;87.7;124.9;100;0;1
46;87.7;124.9;100;0;0
47;87.7;124.9;100;0;0
48;87.8;124.9;100;0;0
49;87.8;124.9;100;0;0
50;87.9;124.9;100;0;0
51;87.9;124.9;100;1;0
52;88;124.9;100;0;1
53;87.9;124.9;100;0;0
54;88;124.9;100;0;0
55;88;124.9;100;0;0
56;88.1;124.9;100;0;0
57;88.1;124.9;100;1;0
58;88.1;124.9;100;0;1
59;88.1;124.9;100;0;0
60;88.2;124.9;100;0;0
61;88.2;124.9;100;0;0
62;88.2;124.9;100;0;0
63;88.3;124.9;100;0;0
64;88.3;124.9;100;0;0
65;88.3;124.9;100;0;0
66;88.4;124.9;100;0;0
67;88.4;124.9;100;0;0
68;88.4;124.9;100;0;0
69;88.5;124.9;100;0;0
70;88.5;124.9;100;1;0
71;88.5;124.9;100;0;1
72;88.5;124.9;100;0;0
73;88.5;124.9;100;0;0
74;88.5;124.9;100;0;0
75;88.5;124.9;100;0;0
76;88.6;124.9;100;0;0
77;88.7;124.9;100;1;0
78;88.7;124.9;100;0;1
79;88.7;124.9;100;0;0
80;88.7;124.9;100;0;0
81;88.8;124.9;100;0;0
82;88.8;124.9;100;0;0
83;88.9;124.9;100;1;0
84;88.8;124.9;100;0;1
85;88.9;124.9;100;0;0
86;88.9;124.9;100;0;0
87;88.9;124.9;100;0;0
88;88.9;124.9;100;0;0
89;89;124.9;100;0;0
90;89.1;124.9;100;0;0
91;89;124.9;100;0;0
92;89.2;124.9;100;0;0
93;89.2;124.9;100;0;0
94;89.2;124.9;100;0;0
95;89.2;124.9;100;0;0
96;89.2;124.9;100;1;0
97;89.2;124.9;100;0;1
98;89.2;124.9;100;0;0
99;89.3;124.9;100;0;0
100;89.3;124.9;100;0;0
101;89.4;124.9;100;0;0
102;89.3;124.9;100;0;0
103;89.4;124.9;100;1;0
104;89.4;124.9;100;0;1
