Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;233.5;124.9;240;0;0
1;233.4;124.9;240;0;0
2;233.6;124.9;240;0;0
3;233.5;124.9;240;0;0
4;233.6;124.9;240;0;0
5;233.5;124.9;240;0;0
6;233.5;124.9;240;0;0
7;233.5;124.9;240;0;0
8;233.4;124.9;240;0;0
9;233.3;124.9;240;0;0
10;233.3;124.9;240;1;0
11;233.4;124.9;240;0;1
12;233.4;124.9;240;0;1
13;233.3;124.9;240;0;0
14;233.3;124.9;240;0;0
15;233.3;124.9;240;0;0
16;233.3;124.9;240;0;0
17;233.2;124.9;240;0;0
18;233.1;124.9;240;1;0
19;233.2;124.9;240;0;0
20;233.1;124.9;240;0;1
21;233.1;124.9;240;0;0
22;233;124.9;240;0;0
23;233.1;124.9;240;0;0
24;233.1;124.9;240;0;0
25;233.1;124.9;240;0;0
26;233;124.9;240;1;0
27;233.1;124.9;240;0;0
28;233.1;124.9;240;0;1
29;233.2;124.9;240;0;0
30;233.2;124.9;240;0;0
31;233.2;124.9;240;0;0
32;233.2;124.9;240;0;0
33;233.2;124.9;240;0;0
34;233.2;124.9;240;0;0
35;233.1;124.9;240;0;0
36;233.1;124.9;240;0;0
37;233.2;124.9;240;0;0
38;233.3;124.9;240;0;0
39;233.3;124.9;240;0;0
40;233.2;124.9;240;0;0
41;233.2;124.9;240;0;0
42;233.2;124.9;240;0;0
43;233.3;124.9;240;1;0
44;233.2;124.9;240;0;0
45;233.3;124.9;240;0;1
46;233.1;124.9;240;0;0
47;233.2;124.9;240;0;0
48;233.3;124.9;240;0;0
49;233.3;124.9;240;0;0
50;233.3;124.9;240;0;0
51;233.4;124.9;240;1;0
52;233.3;124.9;240;0;0
53;233.3;124.9;240;0;1
54;233.3;124.9;240;0;0
55;233.3;124.9;240;0;0
56;233.3;124.9;240;0;0
57;233.3;124.9;240;0;0
58;233.3;124.9;240;0;0
59;233.2;124.9;240;0;0
60;233.2;124.9;240;0;0
61;233.3;124.9;240;0;0
62;233.3;124.9;240;0;0
63;233.4;124.9;240;0;0
64;233.4;124.9;240;0;0
65;233.4;124.9;240;0;0
66;233.4;124.9;240;0;0
67;233.3;124.9;240;0;0
68;233.4;124.9;240;1;0
69;233.3;124.9;240;0;0
70;233.3;124.9;240;0;1
71;233.3;124.9;240;0;0
72;233.2;124.9;240;0;0
73;233.1;124.9;240;0;0
74;233.3;124.9;240;0;0
75;233.3;124.9;240;0;0
76;233.3;124.9;240;1;0
77;233.4;124.9;240;1;0
78;233.4;124.9;240;0;1
79;233.5;124.9;240;0;1
80;233.4;124.9;240;0;0
81;233.4;124.9;240;0;0
82;233.5;124.9;240;0;0
83;233.5;124.9;240;0;0
84;233.5;124.9;240;1;0
85;233.5;124.9;240;1;0
86;233.6;124.9;240;0;1
87;233.6;124.9;240;0;0
88;233.6;124.9;240;0;0
89;233.6;124.9;240;0;0
90;233.6;124.9;240;0;0
91;233.7;124.9;240;0;0
92;233.6;124.9;240;0;0
93;233.7;124.9;240;1;0
94;233.7;124.9;240;0;1
95;233.7;124.9;240;0;0
96;233.7;124.9;240;0;0
97;233.8;124.9;240;0;0
98;233.7;124.9;240;0;0
99;233.7;124.9;240;0;0
100;233.6;124.9;240;0;0
101;233.7;124.9;240;0;0
102;233.8;124.9;240;0;0
103;233.7;124.9;240;0;0
104;233.7;124.9;240;0;0
105;233.7;124.9;240;0;0
106;233.7;124.9;240;0;0
107;233.8;124.9;240;0;0
108;233.8;124.9;240;0;0
109;233.8;124.9;240;0;0
110;233.8;124.9;240;1;0
111;233.9;124.9;240;0;1
112;233.9;124.9;240;0;0
113;233.9;124.9;240;0;0
