Setpoint, C:;350

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
228;350.1;124.9;0;0
229;350.4;124.9;0;0
230;350.4;124.9;0;0
231;350.6;124.9;0;0
232;350.6;124.9;0;0
233;350.7;124.9;0;0
234;350.8;124.9;0;0
235;351;124.9;0;0
236;351;124.9;0;0
237;351.1;124.9;0;0
238;351.2;124.9;0;0
239;351.3;124.9;0;0
240;351.4;124.9;0;0
241;351.5;124.9;0;0
242;351.6;124.9;0;0
243;351.6;124.9;0;0
244;351.8;124.9;0;0
245;351.8;124.9;0;0
246;351.9;124.9;0;0
247;351.9;124.9;0;0
248;352;124.9;0;0
249;352.1;124.9;0;0
250;352.3;124.9;0;0
251;352.3;124.9;0;0
252;352.4;124.9;0;0
253;352.4;124.9;0;0
254;352.5;124.9;0;0
255;352.6;124.9;0;0
256;352.6;124.9;0;0
257;352.7;124.9;0;0
258;352.7;124.9;0;0
259;352.8;124.9;0;0
260;352.8;124.9;0;0
261;352.9;124.9;0;0
262;352.9;124.9;0;0
263;352.9;124.9;0;0
264;353;124.9;0;0
265;353;124.9;0;0
266;353.1;124.9;0;0
267;353.2;124.9;0;0
268;353.2;124.9;0;0
269;353.3;124.9;0;0
270;353.3;124.9;0;0
271;353.3;124.9;0;0
272;353.4;124.9;0;0
273;353.4;124.9;0;0
274;353.4;124.9;0;0
275;353.5;124.9;0;0
276;353.5;124.9;0;0
277;353.6;124.9;0;0
278;353.6;124.9;0;0
279;353.6;124.9;0;0
280;353.7;124.9;0;0
281;353.7;124.9;0;0
282;353.7;124.9;0;0
283;353.8;124.9;0;0
284;353.8;124.9;0;0
285;353.8;124.9;0;0
286;353.8;124.9;0;0
287;353.8;124.9;0;0
288;353.8;124.9;0;0
289;353.9;124.9;0;0
290;353.9;124.9;0;0
291;353.9;124.9;0;0
292;353.9;124.9;0;0
293;353.9;124.9;0;0
294;354;124.9;0;0
295;354.1;124.9;0;0
296;354;124.9;0;0
297;354;124.9;0;0
298;354.1;124.9;0;0
299;354.1;124.9;0;0
300;354.1;124.9;0;0
301;354.1;124.9;0;0
302;354.2;124.9;0;0
303;354.2;124.9;0;0
304;354.2;124.9;0;0
305;354.2;124.9;0;0
306;354.2;124.9;0;0
307;354.2;124.9;0;0
308;354.2;124.9;0;0
309;354.3;124.9;0;0
310;354.2;124.9;0;0
311;354.3;124.9;0;0
312;354.3;124.9;0;0
313;354.2;124.9;0;0
314;354.3;124.9;0;0
315;354.2;124.9;0;0
316;354.3;124.9;0;0
317;354.3;124.9;0;0
318;354.3;124.9;0;0
319;354.3;124.9;0;0
320;354.3;124.9;0;0
321;354.3;124.9;0;0
322;354.3;124.9;0;0
323;354.3;124.9;0;0
324;354.2;124.9;0;0
325;354.3;124.9;0;0
326;354.4;124.9;0;0
327;354.3;124.9;0;0
328;354.3;124.9;0;0
329;354.3;124.9;0;0
330;354.3;124.9;0;0
331;354.3;124.9;0;0
332;354.4;124.9;0;0
333;354.3;124.9;0;0
334;354.3;124.9;0;0
335;354.3;124.9;0;0
336;354.3;124.9;0;0
337;354.3;124.9;0;0
338;354.3;124.9;0;0
339;354.3;124.9;0;0
340;354.3;124.9;0;0
341;354.2;124.9;0;0
342;354.3;124.9;0;0
343;354.2;124.9;0;0
344;354.2;124.9;0;0
345;354.2;124.9;0;0
346;354.2;124.9;0;0
347;354.2;124.9;0;0
348;354.2;124.9;0;0
349;354.2;124.9;0;0
350;354.1;124.9;0;0
351;354.2;124.9;0;0
352;354.1;124.9;0;0
353;354.1;124.9;0;0
354;354.1;124.9;0;0
355;354.1;124.9;0;0
356;354;124.9;0;0
357;354.1;124.9;0;0
358;354;124.9;0;0
359;354;124.9;0;0
360;354;124.9;0;0
361;353.9;124.9;0;0
362;354;124.9;0;0
363;353.9;124.9;0;0
364;353.9;124.9;0;0
365;353.9;124.9;0;0
366;353.9;124.9;0;0
367;353.8;124.9;0;0
368;353.9;124.9;0;0
369;353.9;124.9;0;0
370;353.8;124.9;0;0
371;353.8;124.9;0;0
372;353.8;124.9;0;0
373;353.7;124.9;0;0
374;353.7;124.9;0;0
375;353.8;124.9;0;0
376;353.7;124.9;0;0
377;353.7;124.9;0;0
378;353.7;124.9;0;0
379;353.7;124.9;0;0
380;353.6;124.9;0;0
381;353.6;124.9;0;0
382;353.5;124.9;0;0
383;353.5;124.9;0;0
384;353.6;124.9;0;0
385;353.5;124.9;0;0
386;353.5;124.9;0;0
387;353.4;124.9;0;0
388;353.4;124.9;0;0
389;353.4;124.9;0;0
390;353.4;124.9;0;0
391;353.3;124.9;0;0
392;353.3;124.9;0;0
393;353.3;124.9;0;0
394;353.2;124.9;0;0
395;353.2;124.9;0;0
396;353.2;124.9;0;0
397;353.1;124.9;0;0
398;353.1;124.9;0;0
399;353.1;124.9;0;0
400;353.1;124.9;0;0
401;353.1;124.9;0;0
402;353.1;124.9;0;0
403;353;124.9;0;0
404;353;124.9;0;0
405;352.9;124.9;0;0
406;352.9;124.9;0;0
407;352.9;124.9;0;0
408;352.8;124.9;0;0
409;352.8;124.9;0;0
410;352.7;124.9;0;0
411;352.8;124.9;0;0
412;352.7;124.9;0;0
413;352.7;124.9;0;0
414;352.7;124.9;0;0
415;352.6;124.9;0;0
416;352.5;124.9;0;0
417;352.6;124.9;0;0
418;352.5;124.9;0;0
419;352.5;124.9;0;0
420;352.4;124.9;0;0
421;352.4;124.9;0;0
422;352.4;124.9;0;0
423;352.3;124.9;0;0
424;352.3;124.9;0;0
425;352.3;124.9;0;0
426;352.2;124.9;0;0
427;352.2;124.9;0;0
428;352.1;124.9;0;0
429;352.2;124.9;0;0
430;352.1;124.9;0;0
431;352;124.9;0;0
432;352;124.9;0;0
433;352;124.9;0;0
434;351.9;124.9;0;0
435;351.9;124.9;0;0
436;351.8;124.9;0;0
437;351.8;124.9;0;0
438;351.7;124.9;0;0
439;351.8;124.9;0;0
440;351.6;124.9;0;0
441;351.6;124.9;0;0
442;351.6;124.9;0;0
443;351.5;124.9;0;0
444;351.5;124.9;0;0
445;351.5;124.9;0;0
