Setpoint (C):,170

Time (sec),Temperature 1 (C),Temperature 2 (C),Relay 1,Relay 2
1,150.7,124.9,0,0
2,150.7,124.9,1,1
3,150.7,124.9,0,0
4,150.7,124.9,0,0
5,150.7,124.9,0,0
6,150.6,124.9,0,0
7,150.6,124.9,0,0
8,150.6,124.9,1,1
9,150.8,124.9,0,0
10,150.7,124.9,0,0
11,150.7,124.9,0,0
12,150.8,124.9,0,0
13,150.8,124.9,0,0
14,150.8,124.9,1,1
15,150.8,124.9,0,0
16,150.9,124.9,0,0
17,150.9,124.9,0,0
18,150.9,124.9,0,0
19,150.9,124.9,0,0
20,151,124.9,1,1
21,151,124.9,0,0
22,151.1,124.9,0,0
23,151,124.9,0,0
24,151.1,124.9,0,0
25,151.2,124.9,0,0
26,151.1,124.9,1,1
27,151.2,124.9,0,0
28,151.2,124.9,0,0
29,151.2,124.9,0,0
30,151.4,124.9,0,0
31,151.4,124.9,0,0
32,151.4,124.9,1,1
33,151.4,124.9,1,1
34,151.5,124.9,0,0
35,151.4,124.9,0,0
36,151.5,124.9,0,0
37,151.5,124.9,0,0
38,151.7,124.9,0,0
39,151.7,124.9,1,1
40,151.7,124.9,0,0
41,151.8,124.9,0,0
42,151.8,124.9,0,0
43,151.9,124.9,0,0
44,152,124.9,0,0
45,152.1,124.9,1,1
46,152.1,124.9,0,0
47,152.1,124.9,0,0
48,152.1,124.9,0,0
49,152.3,124.9,0,0
50,152.3,124.9,0,0
51,152.3,124.9,1,1
52,152.4,124.9,0,0
53,152.4,124.9,0,0
54,152.5,124.9,0,0
55,152.5,124.9,0,0
56,152.5,124.9,0,0
57,152.6,124.9,1,1
58,152.7,124.9,0,0
59,152.7,124.9,0,0
60,152.7,124.9,0,0
61,152.7,124.9,0,0
62,152.9,124.9,0,0
63,152.8,124.9,1,1
64,152.9,124.9,1,1
65,153,124.9,0,0
66,153.1,124.9,0,0
67,153.1,124.9,0,0
68,153.2,124.9,0,0
69,153.2,124.9,0,0
70,153.4,124.9,1,1
71,153.4,124.9,0,0
72,153.4,124.9,0,0
73,153.5,124.9,0,0
74,153.5,124.9,0,0
75,153.6,124.9,0,0
76,153.7,124.9,1,1
77,153.7,124.9,0,0
78,153.8,124.9,0,0
79,153.8,124.9,0,0
80,153.9,124.9,0,0
81,154,124.9,0,0
82,154,124.9,1,1
83,154.1,124.9,0,0
84,154.2,124.9,0,0
85,154.1,124.9,0,0
86,154.3,124.9,0,0
87,154.3,124.9,0,0
88,154.3,124.9,0,0
89,154.5,124.9,1,1
90,154.5,124.9,0,0
91,154.6,124.9,0,0
92,154.6,124.9,0,0
93,154.7,124.9,0,0
94,154.7,124.9,0,0
95,154.8,124.9,1,1
96,154.8,124.9,0,0
97,154.8,124.9,0,0
98,154.9,124.9,0,0
99,155,124.9,0,0
100,155,124.9,0,0
101,155,124.9,1,1
102,155.1,124.9,0,0
103,155.2,124.9,0,0
104,155.3,124.9,0,0
105,155.3,124.9,0,0
106,155.3,124.9,0,0
107,155.4,124.9,0,0
108,155.5,124.9,1,1
109,155.5,124.9,0,0
110,155.5,124.9,0,0
111,155.6,124.9,0,0
112,155.6,124.9,0,0
113,155.7,124.9,0,0
114,155.8,124.9,1,1
115,155.8,124.9,0,0
116,155.9,124.9,0,0
117,155.9,124.9,0,0
118,156,124.9,0,0
119,156,124.9,0,0
120,156,124.9,1,1
121,156.1,124.9,0,0
122,156.1,124.9,0,0
123,156.3,124.9,0,0
124,156.3,124.9,0,0
125,156.4,124.9,0,0
126,156.4,124.9,1,1
127,156.4,124.9,0,0
128,156.5,124.9,0,0
129,156.5,124.9,0,0
130,156.6,124.9,0,0
131,156.7,124.9,0,0
132,156.8,124.9,0,0
133,156.8,124.9,1,1
134,156.9,124.9,0,0
135,156.8,124.9,0,0
136,157,124.9,0,0
137,157,124.9,0,0
138,157,124.9,0,0
139,157.1,124.9,1,1
140,157.1,124.9,0,0
141,157.2,124.9,0,0
142,157.2,124.9,0,0
143,157.3,124.9,0,0
144,157.4,124.9,0,0
145,157.4,124.9,1,1
146,157.5,124.9,0,0
147,157.5,124.9,0,0
148,157.5,124.9,0,0
149,157.6,124.9,0,0
150,157.7,124.9,0,0
151,157.7,124.9,1,1
152,157.8,124.9,0,0
153,157.9,124.9,0,0
154,157.9,124.9,0,0
155,158,124.9,0,0
156,158,124.9,0,0
157,158.1,124.9,0,0
158,158.2,124.9,1,1
159,158.3,124.9,0,0
160,158.2,124.9,0,0
161,158.4,124.9,0,0
162,158.4,124.9,0,0
163,158.5,124.9,0,0
164,158.4,124.9,1,1
165,158.6,124.9,0,0
166,158.6,124.9,0,0
167,158.6,124.9,0,0
168,158.7,124.9,0,0
169,158.8,124.9,0,0
170,158.8,124.9,1,1
171,158.9,124.9,0,0
172,158.9,124.9,0,0
173,159,124.9,0,0
174,159.1,124.9,0,0
175,159.1,124.9,0,0
176,159.2,124.9,0,0
177,159.2,124.9,1,1
178,159.3,124.9,0,0
179,159.3,124.9,0,0
180,159.4,124.9,0,0
181,159.5,124.9,0,0
182,159.5,124.9,0,0
183,159.5,124.9,1,1
184,159.6,124.9,0,0
185,159.6,124.9,0,0
186,159.7,124.9,0,0
187,159.8,124.9,0,0
188,159.9,124.9,0,0
189,159.9,124.9,1,1
190,160,124.9,0,0
191,160.1,124.9,0,0
192,160.1,124.9,0,0
193,160.1,124.9,0,0
194,160.2,124.9,0,0
195,160.3,124.9,0,0
196,160.2,124.9,0,0
197,160.4,124.9,0,0
198,160.4,124.9,0,0
199,160.5,124.9,0,0
200,160.5,124.9,0,0
201,160.5,124.9,0,0
202,160.6,124.9,1,1
203,160.6,124.9,0,0
204,160.7,124.9,0,0
205,160.7,124.9,0,0
206,160.7,124.9,0,0
207,160.9,124.9,0,0
208,160.9,124.9,1,1
209,161,124.9,0,0
210,160.9,124.9,0,0
211,161,124.9,0,0
212,161.1,124.9,0,0
213,161.1,124.9,0,0
214,161.2,124.9,1,1
215,161.2,124.9,0,0
216,161.3,124.9,0,0
217,161.3,124.9,0,0
218,161.4,124.9,0,0
219,161.4,124.9,0,0
220,161.5,124.9,0,0
221,161.6,124.9,0,0
222,161.6,124.9,0,0
223,161.6,124.9,0,0
224,161.7,124.9,0,0
225,161.7,124.9,0,0
226,161.7,124.9,0,0
227,161.8,124.9,1,1
228,161.8,124.9,0,0
229,161.9,124.9,0,0
230,161.9,124.9,0,0
231,162,124.9,0,0
232,162,124.9,0,0
233,162.1,124.9,1,1
234,162.1,124.9,0,0
235,162.1,124.9,0,0
236,162.2,124.9,0,0
237,162.3,124.9,0,0
238,162.3,124.9,0,0
239,162.4,124.9,0,0
240,162.4,124.9,0,0
241,162.4,124.9,0,0
242,162.4,124.9,0,0
243,162.5,124.9,0,0
244,162.6,124.9,0,0
245,162.6,124.9,0,0
246,162.6,124.9,0,0
247,162.7,124.9,0,0
248,162.7,124.9,0,0
249,162.7,124.9,0,0
250,162.7,124.9,0,0
251,162.7,124.9,0,0
252,162.8,124.9,1,1
253,162.8,124.9,0,0
254,162.9,124.9,0,0
255,162.9,124.9,0,0
256,162.9,124.9,0,0
257,162.9,124.9,0,0
258,162.9,124.9,1,1
259,163,124.9,0,0
260,163.1,124.9,0,0
261,163,124.9,0,0
262,163.1,124.9,0,0
263,163.2,124.9,0,0
264,163.2,124.9,0,0
265,163.2,124.9,0,0
266,163.3,124.9,0,0
267,163.2,124.9,0,0
268,163.4,124.9,0,0
269,163.4,124.9,0,0
270,163.4,124.9,0,0
271,163.4,124.9,1,1
272,163.5,124.9,0,0
273,163.6,124.9,0,0
274,163.5,124.9,0,0
275,163.5,124.9,0,0
276,163.5,124.9,0,0
277,163.7,124.9,1,1
278,163.7,124.9,0,0
279,163.8,124.9,0,0
280,163.9,124.9,0,0
281,163.9,124.9,0,0
282,163.9,124.9,0,0
283,164,124.9,0,0
284,164,124.9,0,0
285,164.1,124.9,0,0
286,164.1,124.9,0,0
287,164.1,124.9,0,0
288,164.1,124.9,0,0
289,164.2,124.9,0,0
290,164.3,124.9,0,0
291,164.2,124.9,0,0
292,164.3,124.9,0,0
293,164.3,124.9,0,0
294,164.3,124.9,0,0
295,164.3,124.9,1,1
296,164.4,124.9,0,0
297,164.4,124.9,0,0
298,164.4,124.9,0,0
299,164.4,124.9,0,0
300,164.5,124.9,0,0
301,164.5,124.9,0,0
302,164.6,124.9,0,0
303,164.6,124.9,0,0
304,164.6,124.9,0,0
305,164.6,124.9,0,0
306,164.6,124.9,0,0
307,164.6,124.9,0,0
