Setpoint (C):,180

Time (sec),Temperature 1 (C),Temperature 2 (C),Relay 1,Relay 2
229,172.6,124.9,0,0
230,172.6,124.9,0,0
231,172.6,124.9,0,0
232,172.6,124.9,0,0
233,172.7,124.9,0,0
234,172.8,124.9,0,0
235,172.7,124.9,0,0
236,172.8,124.9,0,0
237,172.8,124.9,0,0
238,172.9,124.9,0,0
239,172.9,124.9,0,0
240,172.9,124.9,1,1
241,173,124.9,0,0
242,173,124.9,0,0
243,173,124.9,0,0
244,173,124.9,0,0
245,173.1,124.9,0,0
246,173.1,124.9,1,1
247,173.2,124.9,0,0
248,173.3,124.9,0,0
249,173.2,124.9,0,0
250,173.3,124.9,0,0
251,173.4,124.9,0,0
252,173.4,124.9,0,0
253,173.4,124.9,0,0
254,173.4,124.9,0,0
255,173.4,124.9,0,0
256,173.5,124.9,0,0
257,173.5,124.9,0,0
258,173.6,124.9,0,0
259,173.6,124.9,1,1
260,173.7,124.9,0,0
261,173.6,124.9,0,0
262,173.8,124.9,0,0
263,173.8,124.9,0,0
264,173.8,124.9,0,0
265,173.8,124.9,1,1
266,173.8,124.9,0,0
267,173.9,124.9,0,0
268,174,124.9,0,0
269,174,124.9,0,0
270,174.1,124.9,0,0
271,174.1,124.9,0,0
272,174.1,124.9,0,0
273,174.2,124.9,0,0
274,174.3,124.9,0,0
275,174.3,124.9,0,0
276,174.2,124.9,0,0
277,174.4,124.9,0,0
278,174.4,124.9,1,1
279,174.4,124.9,0,0
280,174.4,124.9,0,0
281,174.5,124.9,0,0
282,174.5,124.9,0,0
283,174.6,124.9,0,0
284,174.5,124.9,1,1
285,174.7,124.9,0,0
286,174.7,124.9,0,0
287,174.7,124.9,0,0
288,174.7,124.9,0,0
289,174.7,124.9,0,0
290,174.7,124.9,0,0
291,174.8,124.9,0,0
292,175,124.9,0,0
293,175,124.9,0,0
294,175,124.9,0,0
295,175,124.9,0,0
296,175.1,124.9,0,0
297,175.1,124.9,1,1
298,175.1,124.9,0,0
299,175.1,124.9,0,0
300,175.2,124.9,0,0
301,175.2,124.9,0,0
302,175.3,124.9,0,0
303,175.3,124.9,0,0
304,175.3,124.9,0,0
305,175.4,124.9,0,0
306,175.4,124.9,0,0
307,175.4,124.9,0,0
308,175.5,124.9,0,0
309,175.4,124.9,0,0
310,175.5,124.9,1,1
311,175.6,124.9,0,0
312,175.6,124.9,0,0
313,175.7,124.9,0,0
314,175.7,124.9,0,0
315,175.7,124.9,0,0
316,175.6,124.9,1,1
317,175.7,124.9,0,0
318,175.8,124.9,0,0
319,175.8,124.9,0,0
320,175.8,124.9,0,0
321,175.9,124.9,0,0
322,175.9,124.9,0,0
323,175.9,124.9,0,0
324,176.1,124.9,0,0
325,176,124.9,0,0
326,176.1,124.9,0,0
327,176.1,124.9,0,0
328,176.2,124.9,0,0
329,176.2,124.9,1,1
330,176.2,124.9,0,0
331,176.2,124.9,0,0
332,176.2,124.9,0,0
333,176.2,124.9,0,0
334,176.3,124.9,0,0
335,176.3,124.9,1,1
336,176.3,124.9,0,0
337,176.4,124.9,0,0
338,176.5,124.9,0,0
339,176.5,124.9,0,0
340,176.6,124.9,0,0
341,176.7,124.9,0,0
342,176.7,124.9,0,0
343,176.7,124.9,0,0
344,176.7,124.9,0,0
345,176.7,124.9,0,0
346,176.8,124.9,0,0
347,176.8,124.9,0,0
348,176.8,124.9,1,1
349,176.8,124.9,0,0
350,176.9,124.9,0,0
351,177,124.9,0,0
352,177,124.9,0,0
353,177,124.9,0,0
354,177,124.9,1,1
355,177.1,124.9,1,1
356,177.1,124.9,0,0
357,177.1,124.9,0,0
358,177.2,124.9,0,0
359,177.2,124.9,0,0
360,177.3,124.9,0,0
361,177.4,124.9,1,1
362,177.5,124.9,1,1
363,177.5,124.9,0,0
364,177.5,124.9,0,0
365,177.7,124.9,0,0
366,177.7,124.9,0,0
367,177.8,124.9,1,1
368,177.9,124.9,1,1
369,177.9,124.9,0,0
370,178,124.9,0,0
371,178.1,124.9,0,0
372,178.2,124.9,0,0
373,178.3,124.9,1,1
374,178.3,124.9,1,1
375,178.4,124.9,0,0
376,178.6,124.9,0,0
377,178.6,124.9,0,0
378,178.6,124.9,0,0
379,178.8,124.9,0,0
380,178.9,124.9,1,1
381,179,124.9,0,0
382,179.2,124.9,0,0
383,179.2,124.9,0,0
384,179.3,124.9,0,0
385,179.4,124.9,0,0
386,179.5,124.9,1,1
387,179.5,124.9,0,0
388,179.7,124.9,0,0
389,179.7,124.9,0,0
390,179.8,124.9,0,0
391,179.8,124.9,0,0
392,179.9,124.9,0,0
393,180,124.9,0,0
394,180.1,124.9,0,0
395,180.2,124.9,0,0
396,180.2,124.9,0,0
397,180.4,124.9,0,0
398,180.4,124.9,0,0
399,180.4,124.9,0,0
400,180.5,124.9,0,0
401,180.6,124.9,0,0
402,180.6,124.9,0,0
403,180.6,124.9,0,0
404,180.7,124.9,0,0
405,180.7,124.9,0,0
406,180.7,124.9,0,0
407,180.8,124.9,0,0
408,180.8,124.9,0,0
409,180.9,124.9,0,0
410,180.9,124.9,0,0
411,180.9,124.9,0,0
412,181,124.9,0,0
413,181,124.9,0,0
414,181,124.9,0,0
415,181,124.9,0,0
416,181,124.9,0,0
417,181,124.9,0,0
418,181,124.9,0,0
419,181.1,124.9,0,0
420,181.1,124.9,0,0
421,181.1,124.9,0,0
422,181.1,124.9,0,0
423,181.1,124.9,0,0
424,181.1,124.9,0,0
425,181.2,124.9,0,0
426,181.2,124.9,0,0
427,181.2,124.9,0,0
428,181.2,124.9,0,0
429,181.2,124.9,0,0
430,181.2,124.9,0,0
431,181.3,124.9,0,0
432,181.3,124.9,0,0
433,181.3,124.9,0,0
434,181.4,124.9,0,0
435,181.4,124.9,0,0
436,181.4,124.9,0,0
437,181.4,124.9,0,0
438,181.4,124.9,0,0
439,181.3,124.9,0,0
440,181.4,124.9,0,0
441,181.4,124.9,0,0
442,181.4,124.9,0,0
443,181.4,124.9,0,0
444,181.4,124.9,0,0
445,181.4,124.9,0,0
446,181.4,124.9,0,0
447,181.4,124.9,0,0
448,181.4,124.9,0,0
449,181.4,124.9,0,0
450,181.4,124.9,0,0
451,181.4,124.9,0,0
452,181.4,124.9,0,0
453,181.4,124.9,0,0
454,181.4,124.9,0,0
455,181.4,124.9,0,0
456,181.5,124.9,0,0
457,181.4,124.9,0,0
458,181.5,124.9,0,0
459,181.5,124.9,0,0
460,181.4,124.9,0,0
461,181.4,124.9,0,0
462,181.4,124.9,0,0
463,181.4,124.9,0,0
464,181.4,124.9,0,0
465,181.5,124.9,0,0
466,181.4,124.9,0,0
467,181.5,124.9,0,0
468,181.4,124.9,0,0
469,181.4,124.9,0,0
470,181.5,124.9,0,0
471,181.5,124.9,0,0
472,181.5,124.9,0,0
473,181.4,124.9,0,0
474,181.5,124.9,0,0
475,181.4,124.9,0,0
476,181.4,124.9,0,0
477,181.4,124.9,0,0
478,181.3,124.9,0,0
479,181.4,124.9,0,0
480,181.4,124.9,0,0
481,181.4,124.9,0,0
482,181.3,124.9,0,0
483,181.4,124.9,0,0
484,181.4,124.9,0,0
485,181.4,124.9,0,0
486,181.4,124.9,0,0
487,181.3,124.9,0,0
488,181.4,124.9,0,0
489,181.4,124.9,0,0
490,181.4,124.9,0,0
491,181.4,124.9,0,0
492,181.3,124.9,0,0
493,181.4,124.9,0,0
494,181.4,124.9,0,0
495,181.4,124.9,0,0
496,181.4,124.9,0,0
497,181.4,124.9,0,0
498,181.4,124.9,0,0
499,181.3,124.9,0,0
500,181.3,124.9,0,0
501,181.3,124.9,0,0
502,181.4,124.9,0,0
503,181.4,124.9,0,0
504,181.3,124.9,0,0
505,181.3,124.9,0,0
506,181.5,124.9,0,0
507,181.3,124.9,0,0
508,181.3,124.9,0,0
509,181.3,124.9,0,0
510,181.3,124.9,0,0
511,181.3,124.9,0,0
512,181.3,124.9,0,0
513,181.3,124.9,0,0
514,181.3,124.9,0,0
515,181.3,124.9,0,0
516,181.2,124.9,0,0
517,181.3,124.9,0,0
518,181.3,124.9,0,0
519,181.2,124.9,0,0
520,181.3,124.9,0,0
521,181.2,124.9,0,0
522,181.3,124.9,0,0
523,181.2,124.9,0,0
524,181.2,124.9,0,0
525,181.2,124.9,0,0
526,181.2,124.9,0,0
527,181.2,124.9,0,0
528,181.2,124.9,0,0
529,181.2,124.9,0,0
