Time (sec);Temperature 1 (C);Set point (C)
0;146.3;150
1;146.3;150
2;146.2;150
3;146.2;150
4;146.2;150
5;146.2;150
6;146.1;150
7;146.2;150
8;146.1;150
9;146.2;150
10;146.2;150
11;146.2;150
12;146.1;150
13;146.1;150
14;146;150
15;146.1;150
16;146.1;150
17;146.3;150
18;146.3;150
19;146.4;150
20;146.4;150
21;146.4;150
22;146.4;150
23;146.4;150
24;146.5;150
25;146.6;150
26;146.6;150
27;146.6;150
28;146.6;150
29;146.6;150
30;146.5;150
31;146.4;150
32;146.5;150
33;146.4;150
34;146.4;150
35;146.4;150
36;146.4;150
37;146.6;150
38;146.5;150
39;146.5;150
40;146.6;150
41;146.5;150
42;146.6;150
43;146.5;150
44;146.5;150
45;146.4;150
46;146.5;150
47;146.5;150
48;146.5;150
49;146.4;150
50;146.4;150
51;146.4;150
52;146.4;150
53;146.4;150
54;146.4;150
55;146.4;150
56;146.5;150
57;146.5;150
58;146.5;150
59;146.4;150
60;146.4;150
61;146.5;150
62;146.5;150
63;146.5;150
64;146.5;150
65;146.4;150
66;146.4;150
67;146.5;150
68;146.4;150
69;146.4;150
70;146.5;150
71;146.6;150
72;146.7;150
73;146.6;150
74;146.6;150
75;146.6;150
76;146.7;150
77;146.8;150
78;146.6;150
79;146.5;150
80;146.7;150
81;146.6;150
82;146.7;150
83;146.6;150
84;146.7;150
85;146.7;150
86;146.8;150
87;146.9;150
88;147;150
89;147.1;150
90;147.1;150
91;147.1;150
92;147.1;150
93;147;150
94;147.1;150
95;147.1;150
96;147.1;150
97;147.1;150
98;147;150
99;147.1;150
100;147.1;150
101;147.1;150
102;147;150
103;147.1;150
104;147.2;150
105;147.2;150
106;147.3;150
107;147.2;150
108;147.1;150
109;147.2;150
110;147.1;150
111;147.1;150
112;147.1;150
113;147.1;150
114;147.2;150
115;147.2;150
116;147.3;150
117;147.3;150
118;147.2;150
119;147.3;150
120;147.3;150
121;147.3;150
122;147.5;150
123;147.4;150
124;147.5;150
125;147.5;150
126;147.4;150
127;147.5;150
128;147.6;150
129;147.6;150
130;147.4;150
131;147.5;150
132;147.4;150
133;147.5;150
134;147.4;150
135;147.4;150
136;147.4;150
137;147.6;150
138;147.5;150
139;147.5;150
140;147.6;150
141;147.5;150
142;147.6;150
143;147.6;150
144;147.5;150
145;147.5;150
146;147.6;150
147;147.6;150
148;147.6;150
149;147.5;150
150;147.7;150
151;147.6;150
152;147.5;150
153;147.7;150
