Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;134.7;124.9;150;0;0
1;134.7;124.9;150;1;0
2;134.5;124.9;150;1;0
3;134.4;124.9;150;0;1
4;134.4;124.9;150;0;0
5;134.4;124.9;150;0;0
6;134.4;124.9;150;0;0
7;134.4;124.9;150;0;0
8;134.4;124.9;150;0;0
9;134.3;124.9;150;1;0
10;134.2;124.9;150;0;1
11;134.3;124.9;150;0;0
12;134.3;124.9;150;0;0
13;134.3;124.9;150;0;0
14;134.2;124.9;150;0;0
15;134.2;124.9;150;0;0
16;134.2;124.9;150;0;0
17;134.1;124.9;150;1;0
18;134;124.9;150;0;1
19;134.1;124.9;150;0;0
20;134.2;124.9;150;0;0
21;134.2;124.9;150;0;0
22;134.2;124.9;150;0;0
23;134.2;124.9;150;0;0
24;134.1;124.9;150;0;0
25;134.1;124.9;150;0;0
26;134;124.9;150;1;0
27;133.9;124.9;150;0;1
28;133.9;124.9;150;0;0
29;133.9;124.9;150;0;0
30;133.9;124.9;150;0;0
31;133.8;124.9;150;0;0
32;133.7;124.9;150;0;0
33;133.7;124.9;150;0;0
34;133.8;124.9;150;1;0
35;133.8;124.9;150;1;1
36;133.8;124.9;150;0;1
37;133.8;124.9;150;0;0
38;133.8;124.9;150;0;0
39;133.8;124.9;150;0;0
40;133.9;124.9;150;0;0
41;133.8;124.9;150;0;0
42;133.9;124.9;150;1;0
43;133.8;124.9;150;1;1
44;133.8;124.9;150;0;1
45;133.7;124.9;150;0;0
46;133.7;124.9;150;0;0
47;133.9;124.9;150;0;0
48;134;124.9;150;0;0
49;134;124.9;150;0;0
50;134;124.9;150;0;0
51;134.1;124.9;150;1;0
52;134.1;124.9;150;1;1
53;134;124.9;150;0;1
54;134;124.9;150;0;0
55;134;124.9;150;0;0
56;134.1;124.9;150;0;0
57;134;124.9;150;0;0
58;134;124.9;150;0;0
59;134;124.9;150;0;0
60;134.1;124.9;150;1;0
61;134;124.9;150;0;1
62;134;124.9;150;0;0
63;134.1;124.9;150;0;0
64;134.2;124.9;150;0;0
65;134.2;124.9;150;0;0
66;134.3;124.9;150;0;0
67;134.3;124.9;150;0;0
68;134.3;124.9;150;0;0
69;134.3;124.9;150;1;0
70;134.4;124.9;150;0;1
71;134.4;124.9;150;0;0
72;134.5;124.9;150;0;0
73;134.5;124.9;150;0;0
74;134.6;124.9;150;0;0
75;134.5;124.9;150;0;0
76;134.5;124.9;150;0;0
77;134.6;124.9;150;0;0
78;134.6;124.9;150;1;0
79;134.6;124.9;150;0;1
80;134.6;124.9;150;0;0
81;134.5;124.9;150;0;0
82;134.5;124.9;150;0;0
83;134.6;124.9;150;0;0
84;134.6;124.9;150;0;0
85;134.6;124.9;150;0;0
86;134.6;124.9;150;0;0
87;134.6;124.9;150;1;0
88;134.6;124.9;150;0;1
89;134.6;124.9;150;0;0
90;134.6;124.9;150;0;0
91;134.6;124.9;150;0;0
92;134.6;124.9;150;0;0
93;134.5;124.9;150;0;0
94;134.4;124.9;150;0;0
95;134.4;124.9;150;1;0
96;134.5;124.9;150;1;1
97;134.6;124.9;150;0;1
98;134.5;124.9;150;0;0
99;134.6;124.9;150;0;0
100;134.5;124.9;150;0;0
101;134.5;124.9;150;0;0
102;134.6;124.9;150;0;0
103;134.6;124.9;150;0;0
104;134.5;124.9;150;1;0
105;134.7;124.9;150;0;1
106;134.6;124.9;150;0;0
107;134.7;124.9;150;0;0
108;134.7;124.9;150;0;0
109;134.6;124.9;150;0;0
110;134.7;124.9;150;0;0
111;134.9;124.9;150;0;0
112;134.9;124.9;150;1;0
113;134.9;124.9;150;1;1
114;134.9;124.9;150;0;1
115;135;124.9;150;0;0
116;135;124.9;150;0;0
117;135;124.9;150;0;0
118;135.1;124.9;150;0;0
119;135.2;124.9;150;0;0
120;135.2;124.9;150;0;0
121;135.2;124.9;150;1;0
122;135.3;124.9;150;0;1
123;135.4;124.9;150;0;0
124;135.4;124.9;150;0;0
125;135.4;124.9;150;0;0
126;135.5;124.9;150;0;0
127;135.4;124.9;150;0;0
128;135.3;124.9;150;0;0
129;135.3;124.9;150;1;0
130;135.2;124.9;150;0;1
131;135.3;124.9;150;0;0
132;135.2;124.9;150;0;0
133;135.5;124.9;150;0;0
134;135.4;124.9;150;0;0
135;135.5;124.9;150;0;0
136;135.5;124.9;150;0;0
137;135.5;124.9;150;1;0
138;135.5;124.9;150;1;1
139;135.6;124.9;150;0;1
140;135.6;124.9;150;0;0
141;135.6;124.9;150;0;0
142;135.7;124.9;150;0;0
143;135.6;124.9;150;0;0
144;135.6;124.9;150;0;0
145;135.8;124.9;150;0;0
146;135.8;124.9;150;1;0
147;135.8;124.9;150;0;1
148;135.9;124.9;150;0;0
149;136;124.9;150;0;0
150;136;124.9;150;0;0
151;136.1;124.9;150;0;0
152;136.1;124.9;150;0;0
153;136.1;124.9;150;0;0
154;136.1;124.9;150;1;0
155;136.2;124.9;150;1;1
156;136.2;124.9;150;0;1
157;136.2;124.9;150;0;0
158;136.3;124.9;150;0;0
159;136.2;124.9;150;0;0
160;136.2;124.9;150;0;0
161;136.3;124.9;150;0;0
162;136.3;124.9;150;0;0
163;136.4;124.9;150;1;0
164;136.5;124.9;150;0;1
165;136.5;124.9;150;0;0
166;136.4;124.9;150;0;0
167;136.5;124.9;150;0;0
168;136.5;124.9;150;0;0
169;136.5;124.9;150;0;0
170;136.4;124.9;150;0;0
171;136.4;124.9;150;0;0
172;136.4;124.9;150;1;0
173;136.4;124.9;150;0;1
174;136.6;124.9;150;0;0
175;136.6;124.9;150;0;0
176;136.6;124.9;150;0;0
177;136.7;124.9;150;0;0
178;136.7;124.9;150;0;0
179;136.9;124.9;150;0;0
180;136.9;124.9;150;0;0
181;136.9;124.9;150;1;0
182;136.9;124.9;150;0;1
183;136.9;124.9;150;0;0
184;136.9;124.9;150;0;0
185;136.9;124.9;150;0;0
186;136.8;124.9;150;0;0
187;137;124.9;150;0;0
188;137;124.9;150;0;0
189;137;124.9;150;0;0
190;137;124.9;150;1;0
191;137;124.9;150;0;1
192;137;124.9;150;0;0
193;137;124.9;150;0;0
194;137.1;124.9;150;0;0
195;137;124.9;150;0;0
196;137.2;124.9;150;0;0
197;137.2;124.9;150;0;0
198;137.2;124.9;150;0;0
199;137;124.9;150;1;0
200;137.3;124.9;150;0;1
201;137.2;124.9;150;0;0
202;137.1;124.9;150;0;0
203;137.2;124.9;150;0;0
204;137.2;124.9;150;0;0
205;137.2;124.9;150;0;0
206;137.2;124.9;150;0;0
207;137.2;124.9;150;0;0
208;137.3;124.9;150;1;0
209;137.3;124.9;150;1;1
210;137.4;124.9;150;0;1
211;137.3;124.9;150;0;0
212;137.4;124.9;150;0;0
213;137.3;124.9;150;0;0
214;137.5;124.9;150;0;0
215;137.6;124.9;150;0;0
216;137.6;124.9;150;0;0
217;137.7;124.9;150;1;0
218;137.8;124.9;150;0;1
219;137.8;124.9;150;0;0
220;137.8;124.9;150;0;0
221;137.8;124.9;150;0;0
222;137.8;124.9;150;0;0
223;137.9;124.9;150;0;0
224;137.9;124.9;150;0;0
225;138;124.9;150;0;0
226;138;124.9;150;1;0
227;138.1;124.9;150;0;1
228;138.2;124.9;150;0;0
229;138.2;124.9;150;0;0
230;138.1;124.9;150;0;0
231;138.3;124.9;150;0;0
232;138.3;124.9;150;0;0
233;138.3;124.9;150;0;0
234;138.4;124.9;150;0;0
235;138.4;124.9;150;1;0
236;138.4;124.9;150;0;1
237;138.3;124.9;150;0;0
238;138.3;124.9;150;0;0
239;138.3;124.9;150;0;0
240;138.4;124.9;150;0;0
241;138.3;124.9;150;0;0
242;138.3;124.9;150;0;0
243;138.4;124.9;150;0;0
244;138.4;124.9;150;1;0
245;138.4;124.9;150;0;1
246;138.5;124.9;150;0;0
247;138.5;124.9;150;0;0
248;138.5;124.9;150;0;0
249;138.5;124.9;150;0;0
250;138.6;124.9;150;0;0
251;138.6;124.9;150;0;0
252;138.8;124.9;150;0;0
253;138.7;124.9;150;0;0
254;138.8;124.9;150;1;0
255;138.7;124.9;150;0;1
256;138.7;124.9;150;0;0
257;138.8;124.9;150;0;0
258;138.9;124.9;150;0;0
259;138.8;124.9;150;0;0
260;138.9;124.9;150;0;0
261;139;124.9;150;0;0
262;139;124.9;150;0;0
263;139.1;124.9;150;1;0
264;139;124.9;150;0;1
