Setpoint, C:;300

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;58.3;124.9;0;0
2;58.3;124.9;0;0
3;58.4;124.9;0;0
4;58.5;124.9;0;0
5;58.4;124.9;0;0
6;58.5;124.9;0;0
7;58.5;124.9;0;0
8;58.5;124.9;1;1
9;58.5;124.9;1;1
10;58.6;124.9;1;1
11;58.6;124.9;1;1
12;58.6;124.9;1;1
13;58.7;124.9;1;1
14;58.7;124.9;1;1
15;58.8;124.9;1;1
16;58.9;124.9;1;1
17;59;124.9;1;1
18;59.1;124.9;1;1
19;59.3;124.9;1;1
20;59.4;124.9;1;1
21;59.6;124.9;1;1
22;59.8;124.9;1;1
23;59.9;124.9;1;1
24;60.2;124.9;1;1
25;60.3;124.9;1;1
26;60.5;124.9;1;1
27;60.8;124.9;1;1
28;60.9;124.9;1;1
29;61.2;124.9;1;1
30;61.4;124.9;1;1
31;61.7;124.9;1;1
32;61.9;124.9;1;1
33;62.2;124.9;1;1
34;62.4;124.9;1;1
35;62.6;124.9;1;1
36;62.9;124.9;1;1
37;63.1;124.9;1;1
38;63.4;124.9;1;1
39;63.7;124.9;1;1
40;64;124.9;1;1
41;64.3;124.9;1;1
42;64.5;124.9;1;1
43;64.9;124.9;1;1
44;65.1;124.9;1;1
45;65.4;124.9;1;1
46;65.6;124.9;1;1
47;65.9;124.9;1;1
48;66.3;124.9;1;1
49;66.5;124.9;1;1
50;66.8;124.9;1;1
51;67;124.9;1;1
52;67.4;124.9;1;1
53;67.7;124.9;1;1
54;67.9;124.9;1;1
55;68.2;124.9;1;1
56;68.5;124.9;1;1
57;68.8;124.9;1;1
58;69.1;124.9;1;1
59;69.5;124.9;1;1
60;69.7;124.9;1;1
61;70;124.9;1;1
62;70.4;124.9;1;1
63;70.7;124.9;1;1
64;71;124.9;1;1
65;71.3;124.9;1;1
66;71.6;124.9;1;1
67;71.9;124.9;1;1
68;72.2;124.9;1;1
69;72.6;124.9;1;1
70;72.9;124.9;1;1
71;73.1;124.9;1;1
72;73.5;124.9;1;1
73;73.8;124.9;1;1
74;74.1;124.9;1;1
75;74.4;124.9;1;1
76;74.8;124.9;1;1
77;75.1;124.9;1;1
78;75.5;124.9;1;1
79;75.8;124.9;1;1
80;76.1;124.9;1;1
81;76.5;124.9;1;1
82;76.7;124.9;1;1
83;77.1;124.9;1;1
84;77.5;124.9;1;1
85;77.7;124.9;1;1
86;78.1;124.9;1;1
87;78.4;124.9;1;1
88;78.8;124.9;1;1
89;79.2;124.9;1;1
90;79.5;124.9;1;1
91;79.9;124.9;1;1
92;80.2;124.9;1;1
93;80.5;124.9;1;1
94;80.9;124.9;1;1
95;81.2;124.9;1;1
96;81.6;124.9;1;1
97;82;124.9;1;1
98;82.3;124.9;1;1
99;82.7;124.9;1;1
100;83.1;124.9;1;1
101;83.3;124.9;1;1
102;83.7;124.9;1;1
103;84.1;124.9;1;1
104;84.4;124.9;1;1
105;84.8;124.9;1;1
106;85.2;124.9;1;1
107;85.6;124.9;1;1
108;85.9;124.9;1;1
109;86.3;124.9;1;1
110;86.6;124.9;1;1
111;87.1;124.9;1;1
112;87.4;124.9;1;1
113;87.7;124.9;1;1
114;88.1;124.9;1;1
115;88.5;124.9;1;1
116;88.9;124.9;1;1
117;89.3;124.9;1;1
118;89.7;124.9;1;1
