Setpoint (C):,100

Time (sec),Temperature 1 (C),Temperature 2 (C),Relay 1,Relay 2
1,23.5,124.9,0,0
2,23.5,124.9,1,1
3,23.5,124.9,1,1
4,23.5,124.9,1,1
5,23.5,124.9,1,1
6,23.5,124.9,1,1
7,23.5,124.9,1,1
8,23.6,124.9,1,1
9,23.6,124.9,1,1
10,23.7,124.9,1,1
11,23.7,124.9,1,1
12,23.8,124.9,1,1
13,23.9,124.9,1,1
14,24.1,124.9,1,1
15,24.2,124.9,1,1
16,24.3,124.9,1,1
17,24.4,124.9,1,1
18,24.7,124.9,1,1
19,24.9,124.9,1,1
20,25,124.9,1,1
21,25.2,124.9,1,1
22,25.4,124.9,1,1
23,25.6,124.9,1,1
24,25.8,124.9,1,1
25,26,124.9,1,1
26,26.3,124.9,1,1
27,26.5,124.9,1,1
28,26.7,124.9,1,1
29,27,124.9,1,1
30,27.2,124.9,1,1
31,27.3,124.9,1,1
32,27.6,124.9,1,1
33,27.9,124.9,1,1
34,28.1,124.9,1,1
35,28.3,124.9,1,1
36,28.6,124.9,1,1
37,28.8,124.9,1,1
38,29.1,124.9,1,1
39,29.4,124.9,1,1
40,29.7,124.9,1,1
41,29.9,124.9,1,1
42,30.2,124.9,1,1
43,30.4,124.9,1,1
44,30.7,124.9,1,1
45,31,124.9,1,1
46,31.3,124.9,1,1
47,31.5,124.9,1,1
48,31.7,124.9,1,1
49,31.9,124.9,1,1
50,32.2,124.9,1,1
51,32.4,124.9,1,1
52,32.7,124.9,1,1
53,33,124.9,1,1
54,33.2,124.9,1,1
55,33.4,124.9,1,1
56,33.6,124.9,1,1
57,33.8,124.9,1,1
58,34.2,124.9,1,1
59,34.4,124.9,1,1
60,34.7,124.9,1,1
61,35,124.9,1,1
62,35.3,124.9,1,1
63,35.5,124.9,1,1
64,35.9,124.9,1,1
65,36,124.9,1,1
66,36.3,124.9,1,1
67,36.7,124.9,1,1
68,37,124.9,1,1
69,37.3,124.9,1,1
70,37.6,124.9,1,1
71,37.9,124.9,1,1
72,38.2,124.9,1,1
73,38.5,124.9,1,1
74,38.8,124.9,1,1
75,39.1,124.9,1,1
76,39.4,124.9,1,1
77,39.6,124.9,1,1
78,40,124.9,1,1
79,40.3,124.9,1,1
80,40.6,124.9,1,1
81,40.9,124.9,1,1
82,41.2,124.9,1,1
83,41.5,124.9,1,1
84,41.8,124.9,1,1
85,42.1,124.9,1,1
86,42.5,124.9,1,1
87,42.8,124.9,1,1
88,43.1,124.9,1,1
89,43.4,124.9,1,1
90,43.7,124.9,1,1
91,44,124.9,1,1
92,44.4,124.9,1,1
93,44.7,124.9,1,1
94,45,124.9,1,1
95,45.4,124.9,1,1
96,45.7,124.9,1,1
97,46,124.9,1,1
98,46.4,124.9,1,1
99,46.8,124.9,1,1
100,47.1,124.9,1,1
101,47.3,124.9,1,1
102,47.6,124.9,1,1
103,48,124.9,1,1
104,48.3,124.9,1,1
105,48.7,124.9,1,1
106,49,124.9,1,1
107,49.4,124.9,1,1
108,49.7,124.9,1,1
109,50.1,124.9,1,1
110,50.4,124.9,1,1
111,50.8,124.9,1,1
112,51,124.9,1,1
113,51.4,124.9,1,1
114,51.8,124.9,1,1
115,52.1,124.9,1,1
116,52.5,124.9,1,1
117,52.8,124.9,1,1
118,53.1,124.9,1,1
119,53.5,124.9,1,1
120,53.9,124.9,1,1
121,54.2,124.9,1,1
122,54.6,124.9,1,1
123,54.9,124.9,1,1
124,55.2,124.9,1,1
125,55.6,124.9,1,1
126,56,124.9,1,1
127,56.3,124.9,1,1
128,56.7,124.9,1,1
129,57,124.9,1,1
130,57.4,124.9,1,1
131,57.8,124.9,1,1
132,58.1,124.9,1,1
133,58.5,124.9,1,1
134,58.9,124.9,1,1
135,59.3,124.9,1,1
136,59.6,124.9,1,1
137,60,124.9,1,1
138,60.4,124.9,1,1
139,60.7,124.9,1,1
140,61.2,124.9,1,1
141,61.5,124.9,1,1
142,61.9,124.9,1,1
143,62.2,124.9,1,1
144,62.6,124.9,1,1
145,63.1,124.9,1,1
146,63.4,124.9,1,1
147,63.8,124.9,1,1
148,64.2,124.9,1,1
149,64.6,124.9,1,1
150,65,124.9,1,1
151,65.3,124.9,1,1
152,65.7,124.9,1,1
153,66.1,124.9,1,1
154,66.5,124.9,1,1
155,66.9,124.9,1,1
156,67.2,124.9,1,1
157,67.7,124.9,0,0
158,68.1,124.9,1,1
159,68.5,124.9,1,1
160,68.9,124.9,1,1
161,69.3,124.9,1,1
162,69.6,124.9,1,1
163,70.1,124.9,0,0
164,70.4,124.9,1,1
165,70.9,124.9,1,1
166,71.2,124.9,1,1
167,71.6,124.9,1,1
168,71.9,124.9,0,0
169,72.3,124.9,0,0
170,72.7,124.9,1,1
171,73.1,124.9,1,1
172,73.4,124.9,1,1
173,73.9,124.9,1,1
174,74.2,124.9,0,0
175,74.6,124.9,0,0
176,75,124.9,1,1
177,75.3,124.9,1,1
178,75.6,124.9,1,1
179,76,124.9,1,1
180,76.4,124.9,0,0
181,76.8,124.9,0,0
182,77.1,124.9,0,0
183,77.4,124.9,1,1
184,77.8,124.9,1,1
185,78.1,124.9,1,1
186,78.5,124.9,0,0
187,78.8,124.9,0,0
188,79,124.9,0,0
189,79.4,124.9,1,1
190,79.8,124.9,1,1
191,80.1,124.9,1,1
192,80.4,124.9,0,0
193,80.7,124.9,0,0
194,81,124.9,0,0
195,81.4,124.9,1,1
196,81.7,124.9,1,1
197,81.9,124.9,1,1
198,82.3,124.9,0,0
199,82.7,124.9,0,0
200,82.9,124.9,0,0
201,83.3,124.9,1,1
202,83.5,124.9,1,1
203,83.8,124.9,1,1
204,84.1,124.9,0,0
205,84.4,124.9,0,0
206,84.8,124.9,0,0
207,85,124.9,0,0
208,85.3,124.9,1,1
209,85.6,124.9,1,1
210,85.9,124.9,0,0
211,86.2,124.9,0,0
212,86.5,124.9,0,0
213,86.7,124.9,0,0
214,87,124.9,1,1
215,87.4,124.9,1,1
216,87.6,124.9,0,0
217,87.9,124.9,0,0
218,88.1,124.9,0,0
219,88.4,124.9,0,0
220,88.7,124.9,1,1
221,88.9,124.9,1,1
222,89.2,124.9,0,0
223,89.5,124.9,0,0
224,89.8,124.9,0,0
225,89.9,124.9,0,0
226,90.3,124.9,1,1
227,90.4,124.9,1,1
228,90.8,124.9,0,0
229,91,124.9,0,0
230,91.3,124.9,0,0
231,91.5,124.9,0,0
232,91.8,124.9,0,0
233,92.1,124.9,1,1
234,92.3,124.9,0,0
235,92.5,124.9,0,0
236,92.8,124.9,0,0
237,93,124.9,0,0
238,93.2,124.9,0,0
239,93.5,124.9,1,1
240,93.7,124.9,0,0
241,94,124.9,0,0
242,94.1,124.9,0,0
243,94.4,124.9,0,0
244,94.7,124.9,0,0
245,94.8,124.9,1,1
246,95,124.9,0,0
247,95.2,124.9,0,0
248,95.5,124.9,0,0
249,95.7,124.9,0,0
250,95.9,124.9,0,0
251,96.1,124.9,0,0
252,96.3,124.9,0,0
253,96.5,124.9,0,0
254,96.7,124.9,0,0
255,96.9,124.9,0,0
256,97.1,124.9,0,0
257,97.2,124.9,0,0
258,97.4,124.9,1,1
259,97.6,124.9,1,1
260,97.8,124.9,0,0
261,98,124.9,0,0
262,98.2,124.9,0,0
263,98.3,124.9,0,0
264,98.6,124.9,1,1
265,98.7,124.9,0,0
266,98.9,124.9,0,0
267,99.1,124.9,0,0
268,99.3,124.9,0,0
269,99.5,124.9,0,0
270,99.7,124.9,1,1
271,99.8,124.9,0,0
272,100.1,124.9,0,0
273,100.2,124.9,0,0
274,100.5,124.9,0,0
