Setpoint, C:;200

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;23.9;124.9;0;0
2;23.9;124.9;0;0
3;23.9;124.9;0;0
4;24;124.9;0;0
5;24;124.9;0;0
6;23.9;124.9;0;0
7;23.9;124.9;0;0
8;23.9;124.9;0;0
9;24;124.9;1;1
10;24;124.9;1;1
11;24;124.9;1;1
12;24;124.9;1;1
13;24;124.9;1;1
14;24;124.9;1;1
15;24;124.9;1;1
16;24;124.9;1;1
17;24.1;124.9;1;1
18;24.1;124.9;1;1
19;24.3;124.9;1;1
20;24.4;124.9;1;1
21;24.5;124.9;1;1
22;24.6;124.9;1;1
23;24.8;124.9;1;1
24;25;124.9;1;1
25;25.1;124.9;1;1
26;25.2;124.9;1;1
27;25.5;124.9;1;1
28;25.6;124.9;1;1
29;25.8;124.9;1;1
30;26;124.9;1;1
31;26.2;124.9;1;1
32;26.6;124.9;1;1
33;26.8;124.9;1;1
34;27.1;124.9;1;1
35;27.3;124.9;1;1
36;27.6;124.9;1;1
37;27.8;124.9;1;1
38;28;124.9;1;1
39;28.3;124.9;1;1
40;28.6;124.9;1;1
41;28.7;124.9;1;1
42;29;124.9;1;1
43;29.3;124.9;1;1
44;29.5;124.9;1;1
45;29.8;124.9;1;1
46;30;124.9;1;1
47;30.3;124.9;1;1
48;30.6;124.9;1;1
49;30.7;124.9;1;1
50;31;124.9;1;1
51;31.2;124.9;1;1
52;31.4;124.9;1;1
53;31.6;124.9;1;1
54;31.9;124.9;1;1
55;32.1;124.9;1;1
56;32.4;124.9;1;1
57;32.7;124.9;1;1
58;33;124.9;1;1
59;33.1;124.9;1;1
60;33.4;124.9;1;1
61;33.7;124.9;1;1
62;33.8;124.9;1;1
63;34.1;124.9;1;1
64;34.3;124.9;1;1
65;34.7;124.9;1;1
66;34.9;124.9;1;1
67;35.2;124.9;1;1
68;35.4;124.9;1;1
69;35.7;124.9;1;1
70;36;124.9;1;1
71;36.2;124.9;1;1
72;36.5;124.9;1;1
73;36.7;124.9;1;1
74;37;124.9;1;1
75;37.3;124.9;1;1
76;37.6;124.9;1;1
77;38;124.9;1;1
78;38.2;124.9;1;1
79;38.6;124.9;1;1
80;38.9;124.9;1;1
81;39.2;124.9;1;1
82;39.5;124.9;1;1
83;39.8;124.9;1;1
84;40.1;124.9;1;1
85;40.4;124.9;1;1
86;40.7;124.9;1;1
87;40.9;124.9;1;1
88;41.2;124.9;1;1
89;41.5;124.9;1;1
90;41.8;124.9;1;1
91;42.1;124.9;1;1
92;42.4;124.9;1;1
93;42.7;124.9;1;1
94;43.1;124.9;1;1
95;43.3;124.9;1;1
96;43.7;124.9;1;1
97;44;124.9;1;1
98;44.3;124.9;1;1
99;44.6;124.9;1;1
100;44.9;124.9;1;1
101;45.2;124.9;1;1
102;45.6;124.9;1;1
103;45.9;124.9;1;1
104;46.2;124.9;1;1
105;46.5;124.9;1;1
106;46.8;124.9;1;1
107;47.2;124.9;1;1
108;47.5;124.9;1;1
109;47.7;124.9;1;1
110;48.1;124.9;1;1
111;48.4;124.9;1;1
112;48.8;124.9;1;1
113;49.1;124.9;1;1
114;49.5;124.9;1;1
115;49.8;124.9;1;1
116;50.1;124.9;1;1
117;50.5;124.9;1;1
118;50.8;124.9;1;1
