Setpoint, C:;650

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;586.9;124.9;0;0
2;586.8;124.9;0;0
3;586.7;124.9;0;0
4;586.6;124.9;0;0
5;586.5;124.9;0;0
6;586.3;124.9;0;0
7;586.2;124.9;0;0
8;586.2;124.9;0;0
9;586.1;124.9;1;1
10;585.9;124.9;1;1
11;585.8;124.9;1;1
12;585.7;124.9;1;1
13;585.7;124.9;1;1
14;585.7;124.9;1;1
15;585.6;124.9;1;1
16;585.6;124.9;1;1
17;585.6;124.9;1;1
18;585.7;124.9;1;1
19;585.8;124.9;1;1
20;585.8;124.9;1;1
21;585.9;124.9;1;1
22;586;124.9;1;1
23;586.1;124.9;1;1
24;586.4;124.9;1;1
25;586.5;124.9;1;1
26;586.7;124.9;1;1
27;586.9;124.9;1;1
28;587.1;124.9;1;1
29;587.3;124.9;1;1
30;587.6;124.9;1;1
31;587.8;124.9;1;1
32;588;124.9;1;1
33;588.2;124.9;1;1
34;588.5;124.9;1;1
35;588.8;124.9;1;1
36;589;124.9;1;1
37;589.3;124.9;1;1
38;589.6;124.9;1;1
39;589.9;124.9;1;1
40;590.2;124.9;1;1
41;590.5;124.9;1;1
42;590.8;124.9;1;1
43;591.2;124.9;1;1
44;591.5;124.9;1;1
45;592.1;124.9;1;1
46;592.5;124.9;1;1
47;592.8;124.9;1;1
48;593.2;124.9;1;1
49;593.5;124.9;1;1
50;593.8;124.9;1;1
51;594.2;124.9;1;1
52;594.5;124.9;1;1
53;594.9;124.9;1;1
54;595.3;124.9;1;1
55;595.6;124.9;1;1
56;596;124.9;1;1
57;596.4;124.9;1;1
58;596.8;124.9;1;1
59;597.1;124.9;1;1
60;597.5;124.9;1;1
61;597.9;124.9;1;1
62;598.3;124.9;1;1
63;598.6;124.9;1;1
64;599;124.9;1;1
65;599.4;124.9;1;1
66;599.7;124.9;1;1
67;600.1;124.9;1;1
68;600.5;124.9;1;1
69;600.8;124.9;1;1
70;601.3;124.9;1;1
71;601.6;124.9;1;1
72;602;124.9;1;1
73;602.5;124.9;1;1
74;602.8;124.9;1;1
75;603.2;124.9;1;1
76;603.6;124.9;1;1
77;604.1;124.9;1;1
78;604.5;124.9;1;1
79;605;124.9;1;1
80;605.4;124.9;1;1
81;605.8;124.9;1;1
82;606.1;124.9;1;1
83;606.6;124.9;1;1
84;606.9;124.9;1;1
85;607.4;124.9;1;1
86;607.8;124.9;1;1
87;608.1;124.9;1;1
88;608.6;124.9;1;1
89;609;124.9;1;1
90;609.5;124.9;1;1
91;609.9;124.9;1;1
92;610.3;124.9;1;1
93;610.7;124.9;1;1
94;611.1;124.9;1;1
