Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;24.6;124.9;30;0;0
1;24.5;124.9;30;0;0
2;24.5;124.9;30;0;0
3;24.6;124.9;30;0;0
4;24.6;124.9;30;0;0
5;24.5;124.9;30;0;0
6;24.5;124.9;30;0;0
7;24.5;124.9;30;0;0
8;24.6;124.9;30;0;0
9;24.5;124.9;30;1;0
10;24.5;124.9;30;0;1
11;24.6;124.9;30;0;0
12;24.5;124.9;30;0;0
13;24.6;124.9;30;0;0
14;24.6;124.9;30;0;0
15;24.6;124.9;30;0;0
16;24.6;124.9;30;0;0
17;24.7;124.9;30;1;0
18;24.7;124.9;30;0;1
19;24.7;124.9;30;0;0
20;24.7;124.9;30;0;0
21;24.7;124.9;30;0;0
22;24.8;124.9;30;0;0
23;24.8;124.9;30;0;0
24;24.8;124.9;30;0;0
25;24.8;124.9;30;0;0
26;24.8;124.9;30;1;0
27;24.8;124.9;30;0;1
28;24.9;124.9;30;0;0
29;24.8;124.9;30;0;0
30;24.9;124.9;30;0;0
31;25;124.9;30;0;0
32;24.9;124.9;30;0;0
33;24.9;124.9;30;0;0
34;25;124.9;30;1;0
35;25;124.9;30;0;1
36;25.1;124.9;30;0;0
37;25.1;124.9;30;0;0
38;25.1;124.9;30;0;0
39;25.1;124.9;30;0;0
40;25.1;124.9;30;0;0
41;25.2;124.9;30;0;0
42;25.2;124.9;30;1;0
43;25.2;124.9;30;0;1
44;25.3;124.9;30;0;0
45;25.3;124.9;30;0;0
46;25.3;124.9;30;0;0
47;25.4;124.9;30;0;0
48;25.4;124.9;30;0;0
49;25.5;124.9;30;0;0
50;25.5;124.9;30;0;0
51;25.5;124.9;30;1;0
52;25.5;124.9;30;0;1
53;25.5;124.9;30;0;0
54;25.5;124.9;30;0;0
55;25.6;124.9;30;0;0
56;25.6;124.9;30;0;0
57;25.7;124.9;30;0;0
58;25.7;124.9;30;0;0
59;25.7;124.9;30;1;0
60;25.7;124.9;30;0;1
61;25.8;124.9;30;0;0
62;25.8;124.9;30;0;0
63;25.8;124.9;30;0;0
64;25.9;124.9;30;0;0
65;26;124.9;30;0;0
66;25.9;124.9;30;0;0
67;26;124.9;30;0;0
68;26;124.9;30;1;0
69;26.1;124.9;30;0;1
70;26;124.9;30;0;0
71;26.1;124.9;30;0;0
72;26.1;124.9;30;0;0
73;26.2;124.9;30;0;0
74;26.2;124.9;30;0;0
75;26.2;124.9;30;0;0
76;26.2;124.9;30;1;0
