Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;99.5;124.9;120;0;0
1;99.5;124.9;120;1;0
2;99.5;124.9;120;1;1
3;99.5;124.9;120;0;1
4;99.5;124.9;120;0;0
5;99.5;124.9;120;0;0
6;99.6;124.9;120;0;0
7;99.6;124.9;120;0;0
8;99.5;124.9;120;0;0
9;99.6;124.9;120;0;0
10;99.6;124.9;120;1;0
11;99.6;124.9;120;0;1
12;99.6;124.9;120;0;0
13;99.6;124.9;120;0;0
14;99.6;124.9;120;0;0
15;99.7;124.9;120;0;0
16;99.7;124.9;120;0;0
17;99.8;124.9;120;0;0
18;99.8;124.9;120;1;0
19;99.9;124.9;120;1;1
20;99.9;124.9;120;0;1
21;99.9;124.9;120;0;0
22;100;124.9;120;0;0
23;100.1;124.9;120;0;0
24;100.1;124.9;120;0;0
25;100.1;124.9;120;0;0
26;100;124.9;120;1;0
27;100;124.9;120;1;1
28;100.1;124.9;120;0;1
29;100.1;124.9;120;0;0
30;100.3;124.9;120;0;0
31;100.3;124.9;120;0;0
32;100.3;124.9;120;0;0
33;100.4;124.9;120;0;0
34;100.4;124.9;120;0;0
35;100.4;124.9;120;1;0
36;100.5;124.9;120;0;1
37;100.5;124.9;120;0;0
38;100.7;124.9;120;0;0
39;100.7;124.9;120;0;0
40;100.7;124.9;120;0;0
41;100.8;124.9;120;0;0
42;100.8;124.9;120;0;0
43;100.8;124.9;120;1;0
44;100.8;124.9;120;0;1
45;100.7;124.9;120;0;0
46;100.8;124.9;120;0;0
47;101;124.9;120;0;0
48;100.8;124.9;120;0;0
49;100.9;124.9;120;0;0
50;100.9;124.9;120;0;0
51;100.9;124.9;120;1;0
52;101;124.9;120;1;1
53;101.1;124.9;120;0;1
54;101;124.9;120;0;0
55;101.2;124.9;120;0;0
56;101.3;124.9;120;0;0
57;101.3;124.9;120;0;0
58;101.2;124.9;120;0;0
59;101.3;124.9;120;1;0
60;101.3;124.9;120;1;1
61;101.4;124.9;120;0;1
62;101.4;124.9;120;0;0
63;101.5;124.9;120;0;0
64;101.7;124.9;120;0;0
65;101.7;124.9;120;0;0
66;101.7;124.9;120;0;0
67;101.8;124.9;120;0;0
68;101.8;124.9;120;1;0
69;101.7;124.9;120;1;1
70;101.8;124.9;120;0;1
71;102;124.9;120;0;0
72;102;124.9;120;0;0
73;102;124.9;120;0;0
74;102.1;124.9;120;0;0
75;102.3;124.9;120;0;0
76;102.3;124.9;120;1;0
77;102.4;124.9;120;1;1
78;102.4;124.9;120;0;1
79;102.5;124.9;120;0;0
80;102.5;124.9;120;0;0
81;102.5;124.9;120;0;0
82;102.5;124.9;120;0;0
83;102.6;124.9;120;0;0
84;102.7;124.9;120;0;0
85;102.8;124.9;120;1;0
86;102.9;124.9;120;0;1
87;102.9;124.9;120;0;0
88;102.8;124.9;120;0;0
89;102.9;124.9;120;0;0
90;102.9;124.9;120;0;0
91;103;124.9;120;0;0
92;103.1;124.9;120;0;0
93;103.1;124.9;120;1;0
94;103.2;124.9;120;1;1
95;103.2;124.9;120;0;1
96;103.4;124.9;120;0;0
97;103.4;124.9;120;0;0
98;103.4;124.9;120;0;0
99;103.4;124.9;120;0;0
100;103.5;124.9;120;0;0
101;103.5;124.9;120;0;0
102;103.5;124.9;120;1;0
103;103.6;124.9;120;0;0
104;103.6;124.9;120;0;1
105;103.6;124.9;120;0;0
106;103.7;124.9;120;0;0
107;103.8;124.9;120;0;0
108;103.9;124.9;120;0;0
109;103.9;124.9;120;0;0
110;104.1;124.9;120;1;0
111;104.1;124.9;120;0;0
112;104.1;124.9;120;0;1
113;104.2;124.9;120;0;0
114;104.1;124.9;120;0;0
115;104.2;124.9;120;0;0
116;104.3;124.9;120;0;0
117;104.4;124.9;120;0;0
118;104.4;124.9;120;1;0
119;104.6;124.9;120;1;0
120;104.6;124.9;120;0;1
121;104.6;124.9;120;0;1
122;104.7;124.9;120;0;0
123;104.8;124.9;120;0;0
124;104.8;124.9;120;0;0
125;104.9;124.9;120;0;0
126;104.9;124.9;120;0;0
127;105.2;124.9;120;1;0
128;105.3;124.9;120;0;0
129;105.3;124.9;120;0;1
130;105.4;124.9;120;0;0
131;105.4;124.9;120;0;0
132;105.5;124.9;120;0;0
133;105.5;124.9;120;0;0
134;105.6;124.9;120;0;0
135;105.6;124.9;120;0;0
136;105.6;124.9;120;1;0
137;105.6;124.9;120;0;0
138;105.7;124.9;120;0;1
139;105.7;124.9;120;0;0
140;105.8;124.9;120;0;0
141;105.8;124.9;120;0;0
142;105.8;124.9;120;0;0
143;105.9;124.9;120;0;0
144;105.9;124.9;120;1;0
145;105.9;124.9;120;0;0
146;106.1;124.9;120;0;1
147;106.2;124.9;120;0;0
148;106.2;124.9;120;0;0
149;106.3;124.9;120;0;0
150;106.2;124.9;120;0;0
151;106.4;124.9;120;1;0
152;106.3;124.9;120;1;0
153;106.4;124.9;120;1;1
154;106.4;124.9;120;0;1
155;106.5;124.9;120;0;1
156;106.6;124.9;120;0;0
157;106.6;124.9;120;0;0
158;106.6;124.9;120;0;0
159;106.6;124.9;120;0;0
160;106.7;124.9;120;0;0
161;106.8;124.9;120;1;0
162;106.8;124.9;120;0;0
163;106.8;124.9;120;0;1
164;106.9;124.9;120;0;0
165;106.9;124.9;120;0;0
166;107;124.9;120;0;0
167;107.1;124.9;120;0;0
168;107.2;124.9;120;0;0
169;107.2;124.9;120;0;0
170;107.2;124.9;120;0;0
171;107.4;124.9;120;0;0
172;107.4;124.9;120;0;0
173;107.4;124.9;120;0;0
174;107.3;124.9;120;0;0
175;107.4;124.9;120;0;0
176;107.4;124.9;120;0;0
177;107.4;124.9;120;0;0
178;107.6;124.9;120;1;0
179;107.6;124.9;120;0;0
180;107.6;124.9;120;0;1
181;107.6;124.9;120;0;0
182;107.8;124.9;120;0;0
183;107.8;124.9;120;0;0
184;107.8;124.9;120;0;0
185;107.9;124.9;120;0;0
186;107.9;124.9;120;1;0
187;107.9;124.9;120;0;0
188;107.9;124.9;120;0;1
189;108;124.9;120;0;0
190;107.9;124.9;120;0;0
191;108;124.9;120;0;0
192;108.2;124.9;120;0;0
193;108.2;124.9;120;0;0
194;108.3;124.9;120;1;0
195;108.4;124.9;120;0;0
196;108.4;124.9;120;0;1
197;108.6;124.9;120;0;0
198;108.6;124.9;120;0;0
199;108.6;124.9;120;0;0
200;108.7;124.9;120;0;0
201;108.8;124.9;120;0;0
202;108.8;124.9;120;1;0
203;108.7;124.9;120;0;1
204;108.7;124.9;120;0;0
205;108.8;124.9;120;0;0
206;108.8;124.9;120;0;0
207;108.7;124.9;120;0;0
208;108.8;124.9;120;0;0
209;108.9;124.9;120;0;0
210;109;124.9;120;1;0
211;109.1;124.9;120;0;1
212;109.2;124.9;120;0;0
213;109.1;124.9;120;0;0
214;109.2;124.9;120;0;0
215;109.4;124.9;120;0;0
216;109.5;124.9;120;0;0
217;109.6;124.9;120;0;0
218;109.6;124.9;120;0;0
219;109.5;124.9;120;1;0
220;109.7;124.9;120;0;1
221;109.7;124.9;120;0;0
222;109.7;124.9;120;0;0
223;109.7;124.9;120;0;0
224;109.7;124.9;120;0;0
225;109.7;124.9;120;0;0
226;109.8;124.9;120;0;0
227;109.9;124.9;120;1;0
228;110;124.9;120;0;1
229;110.1;124.9;120;0;0
230;110.1;124.9;120;0;0
231;110.1;124.9;120;0;0
232;110.1;124.9;120;0;0
233;110.3;124.9;120;0;0
234;110.3;124.9;120;0;0
235;110.3;124.9;120;0;0
236;110.4;124.9;120;1;0
237;110.4;124.9;120;0;1
238;110.4;124.9;120;0;0
239;110.3;124.9;120;0;0
