Setpoint, C:;300

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;223.2;124.9;0;0
2;223.2;124.9;0;0
3;223.3;124.9;0;0
4;223.3;124.9;0;0
5;223.5;124.9;0;0
6;223.5;124.9;0;0
7;223.5;124.9;0;0
8;223.6;124.9;1;1
9;223.6;124.9;1;1
10;223.7;124.9;1;1
11;223.8;124.9;1;1
12;223.8;124.9;1;1
13;223.9;124.9;1;1
14;224;124.9;1;1
15;224.2;124.9;1;1
16;224.3;124.9;1;1
17;224.4;124.9;1;1
18;224.7;124.9;1;1
19;224.8;124.9;1;1
20;225;124.9;1;1
21;225.2;124.9;1;1
22;225.5;124.9;1;1
23;225.7;124.9;1;1
24;226;124.9;1;1
25;226.3;124.9;1;1
26;226.5;124.9;1;1
27;226.8;124.9;1;1
28;227.1;124.9;1;1
29;227.4;124.9;1;1
30;227.7;124.9;1;1
31;228;124.9;1;1
32;228.3;124.9;1;1
33;228.6;124.9;1;1
34;229;124.9;1;1
35;229.3;124.9;1;1
36;229.7;124.9;1;1
37;230.1;124.9;1;1
38;230.4;124.9;1;1
39;230.8;124.9;1;1
40;231.2;124.9;1;1
41;231.5;124.9;1;1
42;231.9;124.9;1;1
43;232.3;124.9;1;1
44;232.6;124.9;1;1
45;233;124.9;1;1
46;233.5;124.9;1;1
47;233.8;124.9;1;1
48;234.2;124.9;1;1
49;234.6;124.9;1;1
50;235.1;124.9;1;1
51;235.5;124.9;1;1
52;235.9;124.9;1;1
53;236.3;124.9;1;1
54;236.6;124.9;1;1
55;237.1;124.9;1;1
56;237.5;124.9;1;1
57;237.9;124.9;1;1
58;238.3;124.9;1;1
59;238.6;124.9;1;1
60;239.2;124.9;1;1
61;239.6;124.9;1;1
62;240;124.9;1;1
63;240.5;124.9;1;1
64;240.9;124.9;1;1
65;241.3;124.9;1;1
66;241.8;124.9;1;1
67;242.2;124.9;1;1
68;242.6;124.9;1;1
69;243.1;124.9;1;1
70;243.6;124.9;1;1
71;244;124.9;1;1
72;244.5;124.9;1;1
73;244.9;124.9;1;1
74;245.3;124.9;1;1
75;245.7;124.9;1;1
76;246.2;124.9;1;1
77;246.7;124.9;1;1
78;247.2;124.9;1;1
79;247.6;124.9;1;1
80;248.1;124.9;1;1
81;248.5;124.9;1;1
82;249;124.9;1;1
83;249.5;124.9;1;1
84;249.9;124.9;1;1
85;250.4;124.9;1;1
86;250.9;124.9;1;1
87;251.4;124.9;1;1
88;251.9;124.9;1;1
89;252.4;124.9;1;1
90;252.8;124.9;1;1
91;253.3;124.9;1;1
92;253.8;124.9;1;1
93;254.3;124.9;1;1
94;254.8;124.9;1;1
95;255.3;124.9;1;1
96;255.7;124.9;1;1
97;256.3;124.9;1;1
98;256.7;124.9;1;1
99;257.2;124.9;1;1
100;257.7;124.9;1;1
101;258.2;124.9;1;1
102;258.7;124.9;1;1
103;259.2;124.9;1;1
104;259.8;124.9;1;1
105;260.2;124.9;1;1
106;260.7;124.9;1;1
107;261.2;124.9;1;1
108;261.7;124.9;1;1
109;262.2;124.9;1;1
110;262.7;124.9;1;1
111;263.3;124.9;1;1
112;263.7;124.9;1;1
113;264.2;124.9;1;1
114;264.8;124.9;1;1
115;265.2;124.9;1;1
116;265.7;124.9;1;1
117;266.3;124.9;1;1
118;266.8;124.9;1;1
119;267.3;124.9;1;1
120;267.8;124.9;1;1
121;268.3;124.9;1;1
122;268.9;124.9;1;1
123;269.4;124.9;1;1
124;270;124.9;1;1
125;270.4;124.9;1;1
126;270.9;124.9;1;1
127;271.4;124.9;1;1
128;272;124.9;1;1
129;272.5;124.9;1;1
130;273;124.9;1;1
131;273.7;124.9;1;1
132;274.1;124.9;1;1
133;274.6;124.9;1;1
134;275.1;124.9;1;1
135;275.7;124.9;1;1
136;276.2;124.9;1;1
137;276.8;124.9;1;1
138;277.3;124.9;1;1
139;277.8;124.9;1;1
140;278.3;124.9;1;1
141;278.9;124.9;1;1
142;279.5;124.9;1;1
143;280;124.9;1;1
144;280.5;124.9;1;1
145;281;124.9;1;1
146;281.6;124.9;1;1
147;282.1;124.9;1;1
148;282.6;124.9;1;1
149;283.2;124.9;1;1
150;283.7;124.9;1;1
151;284.3;124.9;1;1
152;284.8;124.9;1;1
153;285.3;124.9;1;1
154;285.9;124.9;1;1
155;286.5;124.9;1;1
156;287;124.9;1;1
157;287.5;124.9;1;1
158;288.1;124.9;1;1
159;288.6;124.9;1;1
160;289.2;124.9;1;1
161;289.7;124.9;1;1
162;290.4;124.9;1;1
163;290.9;124.9;1;1
164;291.4;124.9;1;1
165;292;124.9;1;1
166;292.6;124.9;1;1
167;293.1;124.9;1;1
168;293.7;124.9;1;1
169;294.2;124.9;1;1
170;294.8;124.9;1;1
171;295.4;124.9;1;1
172;295.9;124.9;1;1
173;296.5;124.9;1;1
174;297;124.9;1;1
175;297.6;124.9;1;1
176;298.1;124.9;1;1
177;298.7;124.9;1;1
178;299.3;124.9;1;1
179;299.8;124.9;1;1
180;300.5;124.9;1;1
181;301;124.9;1;1
